Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1718,22.00,330.00,250.00,522.00,11-1-0,0,12
2,2851,20.00,262.00,240.00,301.00,10-2-0,0,12
3,67,20.00,252.00,170.00,487.00,10-2-0,0,12
4,33,19.00,440.00,220.00,439.00,9-2-1,0,12
5,494,18.00,392.00,200.00,298.00,9-3-0,0,12
6,1025,18.00,206.00,320.00,237.00,9-3-0,0,12
7,2960,18.00,202.00,170.00,314.00,9-3-0,0,12
8,2612,16.00,284.00,180.00,340.00,8-4-0,0,12
9,51,16.00,280.00,170.00,383.00,8-4-0,0,12
10,3414,14.00,288.00,240.00,391.00,7-5-0,0,12
11,4384,14.00,284.00,220.00,336.00,7-5-0,0,12
12,2834,14.00,274.00,120.00,270.00,7-5-0,0,12
13,4130,14.00,196.00,180.00,426.00,7-5-0,0,12
14,3604,14.00,196.00,160.00,350.00,7-5-0,0,12
15,3655,14.00,170.00,110.00,314.00,7-5-0,0,12
16,4737,14.00,128.00,200.00,213.00,7-5-0,0,12
17,573,12.00,228.00,180.00,340.00,6-6-0,0,12
18,548,12.00,210.00,80.00,316.00,6-6-0,0,12
19,308,12.00,208.00,180.00,285.00,6-6-0,0,12
20,2137,12.00,188.00,170.00,239.00,6-6-0,0,12
21,4840,12.00,152.00,70.00,256.00,6-6-0,0,12
22,3539,11.00,210.00,150.00,407.00,5-6-1,0,12
23,503,11.00,206.00,120.00,302.00,5-6-1,0,12
24,3548,11.00,178.00,130.00,211.00,5-6-1,0,12
25,1,10.00,206.00,70.00,208.00,5-7-0,0,12
26,470,10.00,174.00,200.00,280.00,5-7-0,0,12
27,3542,10.00,150.00,130.00,304.00,5-7-0,0,12
28,3098,10.00,140.00,130.00,284.00,5-7-0,0,12
29,835,9.00,254.00,190.00,278.00,4-7-1,0,12
30,1701,8.00,232.00,190.00,223.00,4-8-0,0,12
31,4395,8.00,186.00,110.00,223.00,4-8-0,0,12
32,1188,8.00,154.00,120.00,245.00,4-8-0,0,12
33,4044,8.00,148.00,90.00,219.00,4-8-0,0,12
34,2676,8.00,118.00,120.00,251.00,4-8-0,0,12
35,4478,7.00,128.00,60.00,249.00,3-8-1,0,12
36,3570,6.00,222.00,80.00,180.00,3-9-0,0,12
37,4779,6.00,136.00,100.00,248.00,3-9-0,0,12
38,3175,4.00,56.00,60.00,170.00,2-5-0,5,12
39,1528,2.00,180.00,110.00,311.00,1-11-0,0,12
40,4743,2.00,70.00,70.00,241.00,1-11-0,0,12
