Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,2046,23,264,155,264,455,7-1-0,0,8
2,4911,22,217,145,148,450,7-1-0,0,8
3,4450,20,206,125,215,375,7-1-0,0,8
4,2557,20,148,165,162,410,6-2-0,0,8
5,948,17,204,130,162,415,5-3-0,0,8
6,2811,16,224,95,152,455,4-4-0,0,8
7,2522,15,224,120,197,410,4-4-0,0,8
8,5803,14,219,100,160,430,3-5-0,0,8
9,4205,13,222,110,117,410,4-4-0,0,8
10,2990,13,208,105,157,425,3-5-0,0,8
11,3219,13,192,120,130,440,3-5-0,0,8
12,360,13,183,105,222,395,3-5-0,0,8
13,2930,12,234,100,128,420,3-5-0,0,8
14,1294,11,219,105,123,400,3-5-0,0,8
15,3238,11,206,95,80,440,2-6-0,0,8
16,4681,10,204,95,97,435,2-6-0,0,8
17,3223,8,198,75,133,390,2-6-0,0,8
