Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,341,42.00,329.00,120.00,264.00,20,11-1-0,0,12
2,486,38.00,240.00,160.00,198.00,20,9-3-0,0,12
3,1089,38.00,208.00,110.00,165.00,24,7-5-0,0,12
4,3974,38.00,155.00,190.00,179.00,20,9-3-0,0,12
5,272,36.00,196.00,130.00,184.00,16,10-2-0,0,12
6,365,36.00,141.00,130.00,234.00,20,8-4-0,0,12
7,25,34.00,199.00,150.00,323.00,18,8-4-0,0,12
8,1218,34.00,198.00,150.00,260.00,22,6-6-0,0,12
9,484,34.00,190.00,140.00,181.00,16,9-3-0,0,12
10,303,33.00,253.00,160.00,116.00,17,8-4-0,0,12
11,2016,33.00,205.00,140.00,204.00,19,7-5-0,0,12
12,1676,32.00,230.00,100.00,286.00,18,7-5-0,0,12
13,11,32.00,216.00,90.00,145.00,18,7-5-0,0,12
14,1302,32.00,196.00,150.00,195.00,16,8-4-0,0,12
15,222,32.00,180.00,130.00,154.00,18,7-5-0,0,12
16,2180,31.00,215.00,150.00,170.00,15,8-4-0,0,12
17,1391,30.00,216.00,110.00,186.00,14,8-4-0,0,12
18,2729,30.00,199.00,80.00,149.00,16,7-5-0,0,12
19,2607,30.00,179.00,100.00,167.00,20,5-7-0,0,12
20,869,30.00,146.00,140.00,168.00,16,7-5-0,0,12
21,1923,30.00,138.00,130.00,163.00,16,7-5-0,0,12
22,2590,29.00,187.00,150.00,289.00,12,8-3-1,0,12
23,834,29.00,170.00,130.00,168.00,16,6-5-1,0,12
24,75,28.00,237.00,110.00,210.00,16,6-6-0,0,12
25,1279,28.00,210.00,70.00,158.00,16,6-6-0,0,12
26,423,28.00,203.00,110.00,198.00,16,6-6-0,0,12
27,224,28.00,200.00,60.00,197.00,14,7-5-0,0,12
28,1370,28.00,187.00,130.00,158.00,16,6-6-0,0,12
29,3314,28.00,176.00,140.00,194.00,10,9-3-0,0,12
30,714,28.00,143.00,120.00,188.00,18,5-7-0,0,12
31,433,28.00,136.00,100.00,118.00,18,5-7-0,0,12
32,3637,28.00,113.00,170.00,184.00,14,7-5-0,0,12
33,56,27.00,179.00,130.00,190.00,16,5-6-1,0,12
34,225,27.00,142.00,150.00,158.00,17,5-7-0,0,12
35,816,26.00,185.00,130.00,170.00,16,5-7-0,0,12
36,1168,26.00,97.00,130.00,176.00,20,3-9-0,0,12
37,708,25.00,176.00,40.00,180.00,20,2-9-1,0,12
38,3929,25.00,171.00,190.00,170.00,15,5-7-0,0,12
39,223,24.00,174.00,110.00,104.00,14,5-7-0,0,12
40,1647,24.00,171.00,130.00,191.00,12,6-6-0,0,12
41,4342,23.00,229.00,110.00,184.00,13,5-7-0,0,12
42,357,23.00,220.00,100.00,235.00,12,5-6-1,0,12
43,1640,23.00,142.00,120.00,189.00,14,4-7-1,0,12
44,1712,22.00,175.00,130.00,169.00,14,4-8-0,0,12
45,316,22.00,173.00,140.00,172.00,16,3-9-0,0,12
46,1403,22.00,162.00,130.00,214.00,14,4-8-0,0,12
47,3142,22.00,136.00,80.00,97.00,16,3-9-0,0,12
48,1626,22.00,132.00,140.00,183.00,14,4-8-0,0,12
49,2559,22.00,126.00,100.00,153.00,16,3-9-0,0,12
50,2234,20.00,206.00,70.00,143.00,16,2-10-0,0,12
51,1811,18.00,176.00,40.00,177.00,14,2-10-0,0,12
52,1672,18.00,126.00,70.00,136.00,10,4-8-0,0,12
53,3515,18.00,93.00,40.00,143.00,14,2-10-0,0,12
