Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,3193,2,1315,375,620,600,0,5-0-0,0,5
2,48,1.8,1077,330,560,400,42,4-1-0,0,5
3,2451,1.6000000000000001,1021,331,620,200,121,3-2-0,0,5
4,379,1.3999999999999999,1190,245,620,500,0,3-1-1,0,5
5,2656,1.2,1195,250,660,450,0,3-2-0,0,5
6,4467,1.2,1065,185,520,450,0,3-2-0,0,5
7,5418,1.2,1036,256,500,450,1,3-2-0,0,5
8,3504,1.2,1014,304,600,350,4,3-2-0,0,5
9,2399,1.2,1001,186,520,400,1,3-2-0,0,5
10,4150,1.2,989,133,500,400,9,3-2-0,0,5
11,3324,1.2,858,193,520,200,8,3-2-0,0,5
12,291,1,1152,251,620,450,2,2-2-1,0,5
13,3511,1,1055,190,520,450,0,2-2-1,0,5
14,6054,1,936,260,540,300,46,2-3-0,0,5
15,5413,0.80000000000000004,1300,370,700,500,0,2-3-0,0,5
16,6460,0.80000000000000004,1122,316,640,400,17,2-3-0,0,5
17,2544,0.80000000000000004,1066,320,640,250,16,2-3-0,0,5
18,6291,0.80000000000000004,959,252,580,300,14,2-3-0,0,5
19,2010,0.80000000000000004,951,225,520,300,46,1-3-1,0,5
20,4780,0.80000000000000004,929,188,600,250,9,2-3-0,0,5
21,3138,0.59999999999999998,1007,275,540,350,42,1-4-0,0,5
22,4269,0.59999999999999998,814,249,540,200,4,1-3-1,0,5
23,1248,0.59999999999999998,726,156,480,200,1,1-2-1,1,5
24,1708,0.40000000000000002,940,185,560,300,0,1-4-0,0,5
25,2252,0.40000000000000002,866,231,500,300,1,1-4-0,0,5
