Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,20,18.00,198.00,220.00,527.00,9-0-0,0,9
2,228,16.00,172.00,210.00,434.00,8-1-0,0,9
3,175,15.00,184.00,220.00,322.00,7-0-1,0,8
4,2067,14.00,234.00,180.00,378.00,7-2-0,0,9
5,177,14.00,222.00,180.00,449.00,7-1-0,0,8
6,195,14.00,208.00,220.00,507.00,7-2-0,0,9
7,1218,14.00,208.00,180.00,363.00,7-1-0,0,8
8,236,14.00,160.00,250.00,181.00,7-1-0,0,8
9,2168,12.00,198.00,170.00,283.00,6-2-0,0,8
10,230,12.00,192.00,290.00,357.00,6-3-0,0,9
11,3104,12.00,154.00,120.00,304.00,6-2-0,0,8
12,1784,12.00,120.00,330.00,202.00,6-3-0,0,9
13,3525,12.00,116.00,160.00,241.00,6-2-0,0,8
14,839,10.00,150.00,190.00,161.00,5-3-0,0,8
15,3718,10.00,136.00,190.00,205.00,5-3-0,0,8
16,1991,10.00,132.00,260.00,215.00,5-4-0,0,9
17,4812,10.00,56.00,170.00,203.00,5-2-0,1,8
18,178,9.00,160.00,220.00,198.00,4-4-1,0,9
19,3464,9.00,128.00,160.00,280.00,4-3-1,0,8
20,1027,9.00,96.00,100.00,167.00,4-3-1,0,8
21,558,8.00,194.00,180.00,279.00,4-5-0,0,9
22,694,8.00,168.00,190.00,310.00,4-4-0,0,8
23,4134,8.00,164.00,190.00,299.00,4-4-0,0,8
24,3146,8.00,154.00,90.00,234.00,4-4-0,0,8
25,4055,8.00,134.00,140.00,228.00,4-4-0,0,8
26,1665,8.00,122.00,130.00,226.00,4-4-0,0,8
27,181,8.00,116.00,120.00,131.00,4-4-0,0,8
28,3634,8.00,108.00,180.00,141.00,4-4-0,0,8
29,395,8.00,100.00,130.00,191.00,4-4-0,0,8
30,173,8.00,96.00,240.00,230.00,4-5-0,0,9
31,3204,8.00,84.00,170.00,159.00,4-4-0,0,8
32,2170,8.00,74.00,310.00,249.00,4-4-0,0,8
33,999,8.00,68.00,180.00,153.00,4-4-0,0,8
34,4097,6.00,156.00,140.00,246.00,3-5-0,0,8
35,1699,6.00,134.00,100.00,248.00,3-5-0,0,8
36,4609,6.00,134.00,100.00,105.00,3-5-0,0,8
37,571,6.00,118.00,240.00,225.00,3-5-0,0,8
38,3461,6.00,112.00,170.00,137.00,3-6-0,0,9
39,1071,6.00,110.00,220.00,138.00,3-6-0,0,9
40,3182,6.00,110.00,210.00,120.00,3-5-0,0,8
41,95,6.00,108.00,170.00,169.00,3-5-0,0,8
42,237,6.00,90.00,180.00,218.00,3-5-0,0,8
43,1740,6.00,86.00,160.00,85.00,3-5-0,0,8
44,1289,6.00,86.00,110.00,253.00,3-5-0,0,8
45,4254,6.00,84.00,150.00,165.00,3-5-0,0,8
46,2836,6.00,70.00,70.00,118.00,3-5-0,0,8
47,2064,6.00,50.00,350.00,97.00,3-5-0,0,8
48,263,5.00,76.00,160.00,146.00,2-6-1,0,9
49,4628,4.00,72.00,120.00,84.00,2-6-0,0,8
50,3059,4.00,64.00,350.00,127.00,2-6-0,0,8
51,4572,4.00,48.00,180.00,75.00,2-6-0,0,8
52,2205,4.00,24.00,120.00,117.00,2-6-0,0,8
53,3555,3.00,60.00,130.00,161.00,1-6-1,0,8
54,1124,2.00,46.00,90.00,170.00,1-7-0,0,8
55,2785,2.00,30.00,110.00,109.00,1-7-0,0,8
56,3719,0,88.00,120.00,72.00,0-9-0,0,9
