Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,225,2.8,370,219,1061,165,5-0-0,0,5
2,1218,2.6,335,171,1127,150,4-1-0,0,5
3,2539,2.4,280,178,1207,155,4-1-0,0,5
4,1640,2.4,205,137,1321,140,5-0-0,0,5
5,365,2.2,265,180,1194,195,4-1-0,0,5
6,271,2,345,146,1275,185,3-2-0,0,5
7,203,2,230,161,987,155,3-2-0,0,5
8,484,2,220,196,1049,145,3-2-0,0,5
9,533,1.8,295,165,1088,165,3-2-0,0,5
10,708,1.8,255,210,1175,175,3-2-0,0,5
11,384,1.8,245,160,1003,100,2-3-0,0,5
12,1626,1.8,230,180,907,95,2-3-0,0,5
13,816,1.8,225,165,778,165,2-3-0,0,5
14,6226,1.6,265,174,1044,160,2-3-0,0,5
15,303,1.6,260,183,894,115,2-3-0,0,5
16,5420,1.6,175,159,1068,135,3-2-0,0,5
17,694,1.4,290,115,1151,155,3-2-0,0,5
18,2729,1.4,260,104,828,135,3-2-0,0,5
19,2180,1.4,255,138,886,75,2-3-0,0,5
20,321,1.4,235,158,892,110,3-2-0,0,5
21,3941,1.4,225,125,910,140,2-3-0,0,5
22,7110,1.4,175,149,951,200,2-3-0,0,5
23,1370,1.4,170,141,904,120,2-3-0,0,5
24,1089,1.2,205,152,820,150,2-3-0,0,5
25,4342,1.2,195,163,927,120,1-4-0,0,5
26,87,1.2,175,146,794,120,1-4-0,0,5
27,316,1,230,167,987,120,1-4-0,0,5
28,341,1,125,158,772,130,1-4-0,0,5
29,2495,0.4,145,130,794,95,0-5-0,0,5
