Rank,Team,RP,Auto,Scale/Challenge,Goal,Defense,W-L-T,DQ,Played
1,971,34,446,260,730,580,8-2-0,0,10
2,1678,33,394,155,794,580,9-1-0,0,10
3,254,30,384,135,614,610,8-2-0,0,10
4,4488,30,278,145,532,560,8-2-0,0,10
5,5803,30,262,205,302,580,8-2-0,0,10
6,968,29,329,160,476,565,8-2-0,0,10
7,114,28,173,95,414,540,8-2-0,0,10
8,3859,27,225,140,526,550,7-3-0,0,10
9,1671,26,326,140,454,535,6-4-0,0,10
10,4,26,246,145,303,540,6-4-0,0,10
11,846,25,214,135,322,555,6-4-0,0,10
12,3250,24,366,185,623,545,6-4-0,0,10
13,3663,24,228,150,441,575,6-4-0,0,10
14,3476,24,198,170,396,540,7-3-0,0,10
15,973,23,236,195,391,510,7-3-0,0,10
16,2135,22,302,155,412,550,5-5-0,0,10
17,5700,22,260,165,341,565,5-5-0,0,10
18,2073,22,198,135,457,495,6-4-0,0,10
19,5924,21,237,130,307,495,5-5-0,0,10
20,5817,20,267,120,430,520,5-5-0,0,10
21,3309,19,294,120,506,570,3-7-0,0,10
22,972,19,251,120,364,540,4-6-0,0,10
23,1967,19,196,170,277,555,4-6-0,0,10
24,399,18,166,145,372,485,4-6-0,0,10
25,5829,17,252,120,341,535,4-6-0,0,10
26,1836,17,182,110,298,490,4-6-0,0,10
27,841,16,246,140,307,515,3-7-0,0,10
28,115,16,220,130,266,500,3-7-0,0,10
29,696,16,216,105,327,510,2-8-0,0,10
30,5677,16,211,140,325,495,2-8-0,0,10
31,701,16,211,120,383,485,3-7-0,0,10
32,5026,16,190,100,243,510,4-6-0,0,10
33,766,16,170,150,271,460,6-4-0,0,10
34,5012,16,148,90,439,405,5-5-0,0,10
35,4904,15,284,105,359,555,3-7-0,0,10
36,3256,15,228,105,297,505,3-7-0,0,10
37,604,15,190,115,251,485,3-7-0,0,10
38,1351,14,238,155,296,555,3-7-0,0,10
39,1868,14,222,95,200,480,3-7-0,0,10
40,5499,13,180,125,339,425,3-7-0,0,10
41,4543,12,218,90,305,490,2-8-0,0,10
