Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,3546,17,200,95,198,360,5-1-0,0,6
2,107,16,201,75,296,355,4-2-0,0,6
3,5502,16,162,135,118,355,5-1-0,0,6
4,141,16,147,85,104,355,5-1-0,0,6
5,2767,15,212,80,289,350,4-2-0,0,6
6,1918,15,187,105,220,345,4-2-0,0,6
7,2771,15,182,105,174,330,5-1-0,0,6
8,4237,14,156,100,171,360,4-2-0,0,6
9,3572,14,154,100,151,330,4-2-0,0,6
10,3875,14,147,95,115,355,4-2-0,0,6
11,6065,14,112,70,101,345,4-2-0,0,6
12,1502,13,167,85,108,350,4-2-0,0,6
13,858,13,160,90,143,335,4-2-0,0,6
14,5574,13,122,60,141,305,4-2-0,0,6
15,3620,13,120,90,146,340,3-3-0,0,6
16,85,12,152,85,206,295,3-3-0,0,6
17,3452,12,124,90,142,330,3-3-0,0,6
18,5980,11,182,125,116,345,3-3-0,0,6
19,3234,11,159,100,87,330,3-3-0,0,6
20,4003,11,130,80,155,285,3-3-0,0,6
21,5710,10,157,80,154,335,2-4-0,0,6
22,4956,10,134,65,42,335,2-4-0,0,6
23,5473,10,127,60,114,300,3-3-0,0,6
24,2013,10,121,75,113,315,3-3-0,0,6
25,5927,10,97,45,91,290,3-3-0,0,6
26,74,9,144,100,101,305,2-4-0,0,6
27,1188,9,118,55,97,305,2-4-0,0,6
28,4004,9,108,60,129,305,2-4-0,0,6
29,3357,8,164,65,160,340,1-5-0,0,6
30,101,8,124,75,133,305,1-5-0,0,6
31,2054,8,121,95,185,295,1-5-0,0,6
32,2075,8,111,75,148,270,2-4-0,0,6
33,2405,7,141,75,107,305,2-4-0,0,6
34,904,6,142,90,46,295,1-5-0,0,6
35,4381,5,139,75,89,300,0-6-0,0,6
