Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,342,28.00,108.00,60.00,100.00,12,8-3-0,0,11
2,2640,23.00,104.00,80.00,52.00,10,6-4-1,0,11
3,3489,22.00,119.00,110.00,128.00,4,9-2-0,0,11
4,1319,22.00,98.00,100.00,116.00,6,8-3-0,0,11
5,4261,22.00,53.00,80.00,96.00,10,6-5-0,0,11
6,1287,20.00,137.00,30.00,126.00,4,8-3-0,0,11
7,1876,20.00,134.00,90.00,93.00,4,8-3-0,0,11
8,2751,20.00,100.00,140.00,76.00,4,8-3-0,0,11
9,1102,20.00,93.00,80.00,114.00,2,9-2-0,0,11
10,3196,20.00,57.00,20.00,112.00,8,6-5-0,0,11
11,4073,19.00,127.00,30.00,76.00,4,7-3-1,0,11
12,3242,18.00,133.00,60.00,102.00,8,5-6-0,0,11
13,2974,18.00,116.00,50.00,46.00,6,6-5-0,0,11
14,343,18.00,97.00,60.00,58.00,4,7-4-0,0,11
15,2059,18.00,96.00,80.00,70.00,6,6-5-0,0,11
16,11,18.00,93.00,80.00,123.00,2,8-3-0,0,11
17,2815,16.00,95.00,30.00,110.00,6,5-6-0,0,11
18,3459,16.00,86.00,80.00,59.00,4,6-5-0,0,11
19,4083,16.00,56.00,120.00,67.00,6,5-6-0,0,11
20,4370,16.00,53.00,50.00,81.00,6,5-6-0,0,11
21,415,16.00,42.00,50.00,53.00,6,5-6-0,0,11
22,1553,15.00,72.00,70.00,56.00,6,4-6-1,0,11
23,281,14.00,114.00,70.00,65.00,2,6-5-0,0,11
24,4075,14.00,91.00,40.00,54.00,6,4-7-0,0,11
25,337,14.00,74.00,110.00,35.00,2,6-5-0,0,11
26,3506,14.00,73.00,40.00,54.00,4,5-6-0,0,11
27,4243,14.00,67.00,20.00,38.00,4,5-6-0,0,11
28,1539,14.00,54.00,90.00,91.00,6,4-7-0,0,11
29,3140,14.00,51.00,30.00,91.00,4,5-6-0,0,11
30,1225,14.00,36.00,70.00,66.00,4,5-6-0,0,11
31,1051,13.00,63.00,80.00,38.00,6,3-7-1,0,11
32,4267,13.00,46.00,70.00,57.00,4,4-6-1,0,11
33,1758,12.00,80.00,30.00,80.00,0,6-5-0,0,11
34,2642,12.00,79.00,90.00,55.00,2,5-6-0,0,11
35,3651,12.00,45.00,90.00,45.00,2,5-6-0,0,11
36,3599,10.00,63.00,70.00,54.00,0,5-6-0,0,11
37,3490,10.00,58.00,60.00,75.00,4,3-8-0,0,11
38,3976,10.00,34.00,60.00,60.00,6,2-9-0,0,11
39,3475,9.00,76.00,10.00,59.00,2,3-7-1,0,11
40,4074,8.00,70.00,80.00,50.00,2,3-8-0,0,11
41,1398,8.00,54.00,10.00,43.00,4,2-9-0,0,11
42,2187,8.00,28.00,60.00,74.00,0,4-7-0,0,11
43,1293,6.00,46.00,50.00,56.00,0,3-7-0,1,11
