Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,3238,38.0,300.0,145.0,352.0,635.0,12-0-0,12
2,1778,32.0,278.0,140.0,196.0,645.0,10-2-0,12
3,4682,30.0,270.0,155.0,147.0,630.0,9-3-0,12
4,4205,30.0,248.0,140.0,146.0,650.0,9-3-0,12
5,3826,29.0,296.0,145.0,213.0,650.0,8-4-0,12
6,4089,29.0,276.0,140.0,133.0,640.0,8-4-0,12
7,3663,28.0,292.0,135.0,241.0,640.0,7-4-1,12
8,4911,28.0,282.0,155.0,116.0,700.0,8-4-0,12
9,2928,25.0,284.0,140.0,159.0,660.0,5-6-1,12
10,2903,25.0,268.0,150.0,134.0,635.0,7-5-0,12
11,4683,24.0,286.0,140.0,82.0,630.0,7-5-0,12
12,1294,24.0,265.0,130.0,183.0,590.0,7-5-0,12
13,3574,23.0,264.0,140.0,125.0,630.0,6-6-0,12
14,4915,22.0,266.0,120.0,125.0,645.0,5-6-1,12
15,2907,22.0,246.0,120.0,150.0,655.0,5-7-0,12
16,4030,22.0,234.0,145.0,106.0,595.0,6-5-1,12
17,4654,22.0,206.0,125.0,130.0,565.0,6-6-0,12
18,948,21.0,254.0,135.0,147.0,605.0,5-7-0,12
19,4077,21.0,252.0,145.0,102.0,640.0,5-7-0,12
20,5495,21.0,252.0,130.0,153.0,615.0,6-6-0,12
21,4180,20.0,270.0,135.0,144.0,595.0,6-6-0,12
22,4512,20.0,254.0,135.0,151.0,600.0,5-7-0,12
23,4060,20.0,226.0,135.0,130.0,555.0,6-6-0,12
24,2976,20.0,180.0,120.0,123.0,570.0,5-7-0,12
25,2605,19.0,232.0,135.0,169.0,580.0,5-7-0,12
26,3681,19.0,212.0,130.0,206.0,565.0,6-6-0,12
27,4918,19.0,212.0,125.0,98.0,545.0,5-6-1,12
28,4173,18.0,252.0,130.0,57.0,675.0,3-8-1,12
29,492,18.0,178.0,115.0,187.0,525.0,5-7-0,12
30,3268,18.0,162.0,135.0,169.0,515.0,6-6-0,12
31,3070,17.0,254.0,145.0,104.0,600.0,3-9-0,12
32,568,17.0,239.0,95.0,146.0,600.0,4-8-0,12
33,2980,14.0,164.0,135.0,88.0,565.0,3-9-0,12
34,5748,12.0,166.0,90.0,30.0,500.0,3-8-0,12
35,2660,9.0,225.0,90.0,58.0,560.0,1-11-0,12
