Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,4189,18,124,65,61,320,6-0-0,0,6
2,1746,17,142,60,189,265,6-0-0,0,6
3,1261,15,146,55,78,295,5-0-1,0,6
4,3581,14,115,35,43,315,4-1-1,0,6
5,2415,13,136,40,139,285,4-1-1,0,6
6,4941,13,122,55,74,300,4-2-0,0,6
7,2556,12,90,40,50,285,4-1-1,0,6
8,4188,11,128,50,100,270,4-2-0,0,6
9,3091,11,82,40,53,230,4-2-0,0,6
10,5332,10,144,35,51,305,3-3-0,0,6
11,1771,10,108,85,45,295,3-3-0,0,6
12,1648,10,88,50,62,240,3-2-1,0,6
13,5219,10,82,50,49,245,4-2-0,0,6
14,5109,9,85,25,72,235,3-3-0,0,6
15,4468,8,124,35,87,260,3-3-0,0,6
16,5132,8,82,35,30,295,2-4-0,0,6
17,5608,8,44,60,55,220,3-3-0,0,6
18,1311,7,122,15,85,265,2-4-0,0,6
19,3318,7,93,20,25,235,2-4-0,0,6
20,2974,7,80,65,74,295,1-5-0,0,6
21,4910,6,114,40,48,265,2-4-0,0,6
22,4516,6,96,35,46,220,2-3-1,0,6
23,1002,6,70,35,34,260,2-4-0,0,6
24,3694,6,54,50,24,220,2-4-0,0,6
25,4112,6,44,45,38,240,2-4-0,0,6
26,6023,5,98,25,54,220,2-4-0,0,6
27,832,4,90,35,54,245,1-5-0,0,6
28,4235,3,42,45,13,215,1-5-0,0,6
29,3815,1,66,35,37,175,0-6-0,0,6
