Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,3472,1.8,1465.0,244.0,800.0,450.0,25.0,9-1-0,10
2,3478,1.6000000000000001,1512.0,281.0,760.0,450.0,132.0,8-2-0,10
3,4401,1.6000000000000001,1225.0,120.0,760.0,200.0,0.0,8-2-0,10
4,3933,1.6000000000000001,1140.0,105.0,760.0,150.0,0.0,8-2-0,10
5,3158,1.3999999999999999,1440.0,354.0,840.0,300.0,25.0,7-3-0,10
6,6606,1.3999999999999999,1360.0,190.0,740.0,400.0,20.0,7-3-0,10
7,5716,1.3999999999999999,1348.0,414.0,740.0,350.0,18.0,7-3-0,10
8,4262,1.3999999999999999,1307.0,133.0,720.0,400.0,22.0,7-3-0,10
9,4584,1.3999999999999999,1174.0,228.0,760.0,200.0,4.0,7-3-0,10
10,5948,1.3999999999999999,1124.0,162.0,660.0,300.0,9.0,7-3-0,10
11,6348,1.3,1105.0,235.0,640.0,200.0,0.0,6-3-1,10
12,4371,1.3,979.0,119.0,520.0,200.0,4.0,6-2-1,10
13,5887,1.2,1152.0,184.0,660.0,200.0,27.0,6-4-0,10
14,6170,1.2,1061.0,105.0,680.0,200.0,1.0,6-4-0,10
15,3510,1.2,1045.0,286.0,700.0,100.0,20.0,6-4-0,10
16,3794,1.2,1042.0,127.0,540.0,350.0,2.0,6-4-0,10
17,5133,1.2,1031.0,125.0,560.0,200.0,6.0,6-4-0,10
18,5696,1.0,1460.0,90.0,680.0,500.0,0.0,5-5-0,10
19,3354,1.0,1195.0,114.0,680.0,300.0,5.0,5-5-0,10
20,4782,1.0,1130.0,100.0,800.0,150.0,0.0,5-5-0,10
21,6048,1.0,1087.0,105.0,640.0,250.0,2.0,5-5-0,10
22,3527,1.0,950.0,135.0,600.0,200.0,0.0,5-5-0,10
23,4735,0.90000000000000002,1247.0,222.0,680.0,400.0,2.0,4-5-1,10
24,2283,0.90000000000000002,1068.0,227.0,680.0,150.0,8.0,4-5-1,10
25,6607,0.90000000000000002,1040.0,220.0,720.0,100.0,0.0,4-5-1,10
26,6319,0.80000000000000004,1126.0,220.0,680.0,250.0,26.0,4-6-0,10
27,5932,0.80000000000000004,1104.0,198.0,640.0,300.0,4.0,4-6-0,10
28,4775,0.80000000000000004,1078.0,173.0,620.0,250.0,8.0,4-6-0,10
29,6694,0.80000000000000004,1045.0,113.0,560.0,350.0,5.0,4-6-0,10
30,4010,0.80000000000000004,977.0,219.0,680.0,150.0,22.0,4-6-0,10
31,6604,0.80000000000000004,934.0,100.0,600.0,200.0,4.0,4-6-0,10
32,4731,0.80000000000000004,933.0,85.0,680.0,150.0,8.0,4-6-0,10
33,6676,0.80000000000000004,906.0,135.0,580.0,100.0,1.0,4-6-0,10
34,6708,0.80000000000000004,881.0,71.0,600.0,200.0,1.0,4-6-0,10
35,4685,0.69999999999999996,1038.0,172.0,660.0,200.0,13.0,3-6-1,10
36,4723,0.59999999999999998,1198.0,223.0,640.0,400.0,3.0,3-7-0,10
37,6106,0.59999999999999998,1012.0,243.0,720.0,100.0,22.0,3-7-0,10
38,5750,0.59999999999999998,978.0,163.0,660.0,150.0,3.0,3-7-0,10
39,6605,0.40000000000000002,1057.0,169.0,620.0,250.0,27.0,2-8-0,10
40,6689,0.40000000000000002,1018.0,133.0,640.0,150.0,3.0,2-8-0,10
41,6608,0.40000000000000002,916.0,170.0,540.0,200.0,1.0,2-8-0,10
42,5344,0.20000000000000001,791.0,190.0,680.0,0.0,1.0,1-9-0,10
43,3480,0.20000000000000001,768.0,67.0,480.0,200.0,13.0,1-8-0,10
