Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,3393,22.00,550.00,644.00,240.00,390.00,11-1-0,0,12
2,4911,20.00,600.00,613.00,280.00,436.00,10-2-0,0,12
3,4488,20.00,590.00,720.00,240.00,577.00,10-2-0,0,12
4,1318,18.00,630.00,751.00,240.00,354.00,9-3-0,0,12
5,2928,18.00,530.00,625.00,260.00,229.00,9-3-0,0,12
6,1595,16.00,710.00,503.00,320.00,227.00,8-4-0,0,12
7,488,16.00,620.00,577.00,190.00,391.00,8-4-0,0,12
8,3812,16.00,610.00,625.00,270.00,518.00,8-4-0,0,12
9,492,16.00,610.00,537.00,250.00,86.00,8-4-0,0,12
10,997,16.00,540.00,567.00,260.00,275.00,8-4-0,0,12
11,3588,16.00,510.00,662.00,180.00,309.00,8-4-0,0,12
12,955,16.00,400.00,691.00,260.00,486.00,8-4-0,0,12
13,4915,16.00,380.00,503.00,300.00,387.00,8-4-0,0,12
14,2811,16.00,300.00,599.00,180.00,257.00,8-4-0,0,12
15,4542,14.00,520.00,616.00,240.00,372.00,7-5-0,0,12
16,2557,14.00,490.00,560.00,230.00,296.00,7-5-0,0,12
17,2522,14.00,480.00,538.00,240.00,344.00,7-5-0,0,12
18,360,14.00,450.00,568.00,250.00,186.00,7-5-0,0,12
19,4127,14.00,410.00,555.00,270.00,307.00,7-5-0,0,12
20,3219,14.00,410.00,523.00,210.00,260.00,7-5-0,0,12
21,4077,14.00,400.00,551.00,310.00,391.00,7-5-0,0,12
22,3131,14.00,400.00,496.00,120.00,162.00,7-5-0,0,12
23,948,14.00,380.00,551.00,250.00,267.00,7-5-0,0,12
24,3663,14.00,360.00,530.00,240.00,526.00,7-5-0,0,12
25,2927,14.00,340.00,478.00,180.00,317.00,7-5-0,0,12
26,4980,13.00,490.00,544.00,160.00,257.00,6-5-1,0,12
27,1294,12.00,610.00,448.00,130.00,240.00,6-6-0,0,12
28,2521,12.00,590.00,509.00,180.00,195.00,6-6-0,0,12
29,4125,12.00,550.00,553.00,210.00,145.00,6-6-0,0,12
30,4120,12.00,520.00,472.00,170.00,280.00,6-6-0,0,12
31,956,12.00,450.00,502.00,290.00,216.00,6-6-0,0,12
32,3789,12.00,450.00,429.00,210.00,250.00,6-6-0,0,12
33,5111,12.00,430.00,432.00,130.00,344.00,6-6-0,0,12
34,1983,12.00,410.00,574.00,240.00,273.00,6-6-0,0,12
35,3711,12.00,380.00,477.00,230.00,215.00,6-6-0,0,12
36,2412,12.00,350.00,642.00,190.00,304.00,6-6-0,0,12
37,4457,11.00,400.00,476.00,170.00,203.00,5-6-1,0,12
38,2147,10.00,510.00,358.00,140.00,187.00,5-7-0,0,12
39,1540,10.00,480.00,592.00,190.00,330.00,5-7-0,0,12
40,2149,10.00,480.00,568.00,190.00,262.00,5-7-0,0,12
41,4061,10.00,470.00,475.00,240.00,368.00,5-7-0,0,12
42,3238,10.00,460.00,556.00,250.00,388.00,5-7-0,0,12
43,4559,10.00,460.00,452.00,200.00,292.00,5-7-0,0,12
44,2471,10.00,420.00,487.00,170.00,344.00,5-7-0,0,12
45,2046,10.00,380.00,429.00,300.00,352.00,5-7-0,0,12
46,2976,10.00,320.00,493.00,160.00,404.00,5-7-0,0,12
47,4918,10.00,280.00,500.00,190.00,435.00,5-7-0,0,12
48,2635,10.00,250.00,512.00,190.00,219.00,5-7-0,0,12
49,2980,10.00,220.00,453.00,230.00,309.00,5-7-0,0,12
50,3574,9.00,450.00,586.00,260.00,347.00,4-7-1,0,12
51,2907,9.00,440.00,571.00,240.00,245.00,4-7-1,0,12
52,4450,9.00,370.00,603.00,200.00,166.00,4-7-1,0,12
53,2002,8.00,540.00,447.00,170.00,149.00,4-8-0,0,12
54,3674,8.00,450.00,620.00,200.00,235.00,4-8-0,0,12
55,5085,8.00,430.00,471.00,180.00,249.00,4-8-0,0,12
56,4057,8.00,340.00,463.00,130.00,121.00,4-8-0,0,12
57,2411,8.00,230.00,473.00,230.00,250.00,4-8-0,0,12
58,4131,7.00,380.00,459.00,200.00,163.00,3-8-1,0,12
59,1425,6.00,410.00,501.00,150.00,383.00,3-9-0,0,12
60,3070,6.00,310.00,493.00,240.00,356.00,3-9-0,0,12
61,4038,4.00,370.00,398.00,140.00,179.00,2-10-0,0,12
62,2923,4.00,320.00,372.00,170.00,245.00,2-10-0,0,12
63,2903,2.00,250.00,357.00,160.00,194.00,1-11-0,0,12
