Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,4561,2.1600000000000001,1484,224,720,600,14,6-0-0,0,6
2,3737,1.8300000000000001,1483,218,720,550,8,5-1-0,0,6
3,1533B,1.6599999999999999,1305,385,660,500,0,5-1-0,0,6
4,587,1.6599999999999999,1261,211,640,400,1,5-1-0,0,6
5,2640,1.6599999999999999,1199,204,600,400,4,5-1-0,0,6
6,4816,1.6599999999999999,1142,262,580,400,2,5-1-0,0,6
7,1533,1.3300000000000001,1367,200,680,600,2,4-2-0,0,6
8,5190,1.3300000000000001,1264,329,720,400,4,4-2-0,0,6
9,435,1.3300000000000001,1200,260,620,450,0,4-2-0,0,6
10,2059,1.3300000000000001,1189,139,580,500,4,4-2-0,0,6
11,3402,1.3300000000000001,1165,205,680,300,0,4-2-0,0,6
12,4828,1,1219,204,560,450,14,3-3-0,0,6
13,5511,1,1082,140,540,450,2,3-3-0,0,6
14,1293,1,1078,198,640,200,3,3-3-0,0,6
15,3229,1,1077,260,540,400,2,3-3-0,0,6
16,4935,1,1070,145,620,300,0,3-3-0,0,6
17,5544,0.66000000000000003,1340,255,660,550,0,2-4-0,0,6
18,6500,0.66000000000000003,1233,208,680,400,3,2-4-0,0,6
19,2642,0.66000000000000003,1231,326,720,350,1,2-4-0,0,6
20,3459,0.66000000000000003,1175,325,600,450,0,2-4-0,0,6
21,2682,0.66000000000000003,1170,135,580,450,0,2-4-0,0,6
22,4795,0.66000000000000003,1144,329,480,550,4,2-4-0,0,6
23,6888,0.66000000000000003,1115,195,520,500,0,2-4-0,0,6
24,6332,0.66000000000000003,1104,179,560,450,4,2-4-0,0,6
25,5160,0.66000000000000003,1094,259,580,400,4,2-4-0,0,6
26,5518,0.66000000000000003,1030,140,540,400,0,2-4-0,0,6
27,5762,0.66000000000000003,980,200,520,350,0,2-4-0,0,6
28,4935B,0.5,1073,203,640,300,8,1-5-0,0,6
29,4829,0.33000000000000002,1050,200,560,350,0,1-5-0,0,6
30,6214,,740,50,440,200,0,0-6-0,0,6
