Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,4055,15,140,50,99,300,6-0-0,0,6
2,4122,13,152,70,54,310,5-1-0,0,6
3,3419,10,150,60,66,265,4-2-0,0,6
4,2869,10,136,70,33,300,4-3-0,0,7
5,335,9,156,60,69,290,3-4-0,0,7
6,5943,9,130,60,47,255,3-4-0,0,7
7,371,9,102,55,52,235,4-3-0,0,7
8,1880,8,104,60,24,235,3-3-0,0,6
9,333,7,110,65,98,260,3-4-0,0,7
10,4361,6,118,65,44,280,2-5-0,0,7
11,4528,5,124,60,69,270,2-5-0,0,7
12,5123,5,124,50,64,250,2-5-0,0,7
13,369,4,122,65,44,255,2-4-0,0,6
