Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,192,9,1,1,11,19.00,45.72,86
2,2348,9,2,0,11,18.00,42.00,86
3,1138,8,2,1,11,17.00,33.54,81
4,368,8,3,0,11,16.00,37.18,86
5,2453,8,3,0,11,16.00,35.63,76
6,2441,8,3,0,11,16.00,32.54,62
7,2445,7,3,1,11,15.00,38.81,76
8,359,7,3,1,11,15.00,34.72,66
9,2504,7,4,0,11,14.00,36.90,76
10,2439,7,4,0,11,14.00,36.27,81
11,2077,7,4,0,11,14.00,34.09,66
12,1859,6,4,1,11,13.00,34.72,86
13,2090,6,5,0,11,12.00,40.18,74
14,2438,6,5,0,11,12.00,36.72,81
15,2444,5,5,1,11,11.00,38.72,64
16,2467,5,5,1,11,11.00,35.36,84
17,3105,5,5,1,11,11.00,35.36,72
18,2455,5,6,0,11,10.00,42.09,78
19,2454,5,6,0,11,10.00,40.72,78
20,2853,5,6,0,11,10.00,39.72,69
21,2813,5,6,0,11,10.00,36.72,66
22,2443,5,6,0,11,10.00,36.63,57
23,2932,4,6,1,11,9.00,44.00,67
24,2460,4,6,1,11,9.00,34.36,60
25,1834,4,7,0,11,8.00,35.63,62
26,2628,3,6,2,11,8.00,35.54,86
27,2896,4,7,0,11,8.00,33.81,86
28,2459,3,8,0,11,6.00,38.54,65
29,2465,3,8,0,11,6.00,35.00,53
30,2437,2,9,0,11,4.00,34.00,66
31,2629,2,9,0,11,4.00,31.81,76
32,3008,2,9,0,11,4.00,23.90,54
33,2477,1,10,0,11,2.00,35.09,58
