Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,341,32.00,204.00,90.00,215.00,12,10-2-0,0,12
2,1218,32.00,161.00,70.00,218.00,12,10-2-0,0,12
3,486,30.00,137.00,80.00,99.00,16,7-5-0,0,12
4,4342,28.00,181.00,20.00,168.00,10,9-3-0,0,12
5,708,28.00,176.00,60.00,69.00,10,9-3-0,0,12
6,225,28.00,141.00,110.00,95.00,10,9-3-0,0,12
7,834,28.00,130.00,90.00,121.00,14,7-5-0,0,12
8,222,28.00,128.00,80.00,189.00,10,9-3-0,0,12
9,2234,24.00,165.00,20.00,97.00,14,5-7-0,0,12
10,433,24.00,155.00,90.00,70.00,6,9-3-0,0,12
11,357,24.00,155.00,50.00,117.00,6,9-3-0,0,12
12,365,24.00,145.00,60.00,148.00,10,7-5-0,0,12
13,484,24.00,123.00,70.00,144.00,12,6-6-0,0,12
14,3929,24.00,109.00,60.00,140.00,12,6-6-0,0,12
15,2539,22.00,139.00,70.00,90.00,10,6-6-0,0,12
16,2191,22.00,137.00,20.00,90.00,12,5-7-0,0,12
17,3974,22.00,109.00,80.00,79.00,12,5-7-0,0,12
18,423,22.00,104.00,70.00,114.00,10,6-6-0,0,12
19,709,22.00,73.00,30.00,89.00,14,4-8-0,0,12
20,4373,20.00,186.00,70.00,85.00,10,5-7-0,0,12
21,2729,20.00,151.00,60.00,132.00,4,8-4-0,0,12
22,316,20.00,150.00,50.00,147.00,6,7-5-0,0,12
23,2495,20.00,117.00,60.00,81.00,12,4-8-0,0,12
24,3151,20.00,94.00,60.00,63.00,12,4-8-0,0,12
25,321,20.00,86.00,30.00,58.00,10,5-5-0,2,12
26,3123,20.00,75.00,40.00,94.00,16,2-10-0,0,12
27,816,18.00,136.00,50.00,113.00,8,5-6-0,1,12
28,2559,18.00,73.00,40.00,60.00,8,5-7-0,0,12
29,4035,18.00,46.00,40.00,90.00,10,4-7-0,1,12
30,2180,16.00,159.00,80.00,81.00,4,6-6-0,0,12
31,1807,16.00,116.00,20.00,82.00,10,3-9-0,0,12
32,1257,16.00,107.00,60.00,90.00,6,5-7-0,0,12
33,1791,16.00,66.00,70.00,90.00,6,5-7-0,0,12
34,1495,14.00,113.00,60.00,98.00,6,4-8-0,0,12
35,2229,12.00,115.00,60.00,56.00,6,3-9-0,0,12
36,304,10.00,75.00,50.00,64.00,6,2-7-0,3,12
37,3553,4.00,18.00,10.00,21.00,4,0-4-0,8,12
