Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,1983,35.0,240.0,210.0,167.0,620.0,11-1-0,12
2,2046,30.0,293.0,130.0,165.0,590.0,10-2-0,12
3,3238,30.0,222.0,145.0,269.0,605.0,9-3-0,12
4,4173,26.0,194.0,125.0,120.0,585.0,9-3-0,12
5,4450,25.0,140.0,95.0,256.0,480.0,9-3-0,12
6,2907,24.0,240.0,165.0,83.0,590.0,7-4-1,12
7,4469,24.0,214.0,110.0,224.0,520.0,9-3-0,12
8,3663,24.0,193.0,120.0,181.0,550.0,7-4-1,12
9,2557,24.0,154.0,125.0,107.0,525.0,7-4-1,12
10,949,23.0,278.0,115.0,66.0,575.0,8-4-0,12
11,1294,23.0,246.0,100.0,112.0,555.0,8-4-0,12
12,2522,23.0,222.0,85.0,115.0,570.0,7-5-0,12
13,3393,23.0,198.0,120.0,143.0,580.0,7-5-0,12
14,4131,22.0,224.0,115.0,155.0,545.0,7-5-0,12
15,3787,21.0,196.0,110.0,53.0,550.0,7-5-0,12
16,3781,21.0,174.0,100.0,97.0,535.0,6-6-0,12
17,2906,21.0,130.0,135.0,120.0,535.0,5-7-0,12
18,1318,19.0,206.0,95.0,121.0,510.0,6-6-0,12
19,2927,19.0,152.0,110.0,61.0,475.0,7-5-0,12
20,5588,18.0,220.0,110.0,115.0,515.0,6-6-0,12
21,488,18.0,216.0,120.0,70.0,580.0,3-8-1,12
22,5683,18.0,188.0,75.0,73.0,475.0,6-5-1,12
23,3219,18.0,136.0,125.0,127.0,480.0,6-6-0,12
24,5803,18.0,122.0,130.0,84.0,550.0,4-8-0,12
25,5937,16.0,258.0,90.0,87.0,545.0,4-7-1,12
26,2605,16.0,244.0,85.0,76.0,525.0,5-7-0,12
27,4461,16.0,161.0,75.0,103.0,435.0,6-6-0,12
28,3237,16.0,124.0,70.0,62.0,435.0,5-7-0,12
29,3223,14.0,198.0,95.0,69.0,465.0,5-7-0,12
30,2929,14.0,190.0,95.0,64.0,475.0,5-7-0,12
31,3218,14.0,186.0,90.0,59.0,495.0,4-8-0,12
32,3786,14.0,172.0,90.0,86.0,465.0,5-7-0,12
33,360,14.0,152.0,75.0,151.0,500.0,4-8-0,12
34,5827,14.0,134.0,65.0,88.0,440.0,4-7-0,12
35,5295,12.0,86.0,55.0,59.0,365.0,4-7-0,12
36,4918,11.0,126.0,85.0,90.0,430.0,3-9-0,12
37,2555,10.0,146.0,60.0,74.0,470.0,3-9-0,12
38,1899,7.0,138.0,85.0,55.0,415.0,2-10-0,12
39,5939,5.0,148.0,70.0,53.0,465.0,1-11-0,12
