Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,217,11,1,0,12,22.00,25.91
2,51,11,1,0,12,22.00,23.58
3,245,11,1,0,12,22.00,19.08
4,1023,10,2,0,12,20.00,26.58
5,469,9,2,0,11,18.00,21.75
6,903,8,3,1,12,17.00,15.83
7,201,8,4,0,12,16.00,26.41
8,3547,8,4,0,12,16.00,12.75
9,1701,7,3,1,11,15.00,20.00
10,818,7,4,1,12,15.00,8.83
11,1025,7,4,0,11,14.00,16.91
12,308,7,2,0,9,14.00,14.58
13,280,6,5,1,12,13.00,13.41
14,123,6,5,0,11,12.00,16.50
15,1502,6,6,0,12,12.00,9.91
16,503,6,5,0,11,12.00,6.16
17,815,5,5,1,11,11.00,17.50
18,3069,5,4,1,10,11.00,10.75
19,2832,5,6,1,12,11.00,9.83
20,2960,5,6,0,11,10.00,12.75
21,3619,4,5,2,11,10.00,12.00
22,3175,5,5,0,10,10.00,11.66
23,3605,5,5,0,10,10.00,11.58
24,440,5,7,0,12,10.00,7.08
25,2591,4,6,1,11,9.00,13.08
26,1250,4,8,0,12,8.00,21.75
27,1,4,8,0,12,8.00,17.25
28,515,4,8,0,12,8.00,12.41
29,3302,3,7,2,12,8.00,10.50
30,3398,4,6,0,10,8.00,9.58
31,3632,3,6,2,11,8.00,9.16
32,3115,4,5,0,9,8.00,5.25
33,2620,3,8,1,12,7.00,9.75
34,3002,3,6,1,10,7.00,7.25
35,519,3,9,0,12,6.00,16.33
36,3096,3,9,0,12,6.00,13.66
37,2048,3,7,0,10,6.00,12.66
38,2224,3,6,0,9,6.00,6.66
39,94,2,9,1,12,5.00,7.00
