Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,3138,9,1,0,10,18.00,69.00
2,1676,9,1,0,10,18.00,50.10
3,148,9,1,0,10,18.00,49.50
4,78,9,1,0,10,18.00,49.40
5,1538,8,2,0,10,16.00,64.30
6,16,8,2,0,10,16.00,63.90
7,1730,8,2,0,10,16.00,59.80
8,217,8,2,0,10,16.00,58.70
9,27,8,2,0,10,16.00,54.70
10,3456,8,2,0,10,16.00,45.10
11,3547,8,2,0,10,16.00,40.10
12,2039,8,2,0,10,16.00,39.20
13,233,7,3,0,10,14.00,63.60
14,525,7,3,0,10,14.00,57.90
15,624,7,3,0,10,14.00,57.60
16,2848,7,3,0,10,14.00,54.10
17,234,7,3,0,10,14.00,52.20
18,2415,7,3,0,10,14.00,50.50
19,1503,7,3,0,10,14.00,49.70
20,25,7,3,0,10,14.00,48.10
21,340,7,3,0,10,14.00,47.40
22,1731,7,2,0,9,14.00,43.60
23,836,6,4,0,10,12.00,57.60
24,2046,6,4,0,10,12.00,57.50
25,3521,6,4,0,10,12.00,56.50
26,302,6,4,0,10,12.00,53.90
27,179,6,4,0,10,12.00,52.10
28,1100,6,4,0,10,12.00,51.90
29,494,6,4,0,10,12.00,50.40
30,3009,6,4,0,10,12.00,46.30
31,1801,6,4,0,10,12.00,43.00
32,353,6,3,0,9,12.00,41.60
33,228,6,3,0,9,12.00,35.50
34,842,5,5,0,10,10.00,63.90
35,2122,5,5,0,10,10.00,60.30
36,1511,5,5,0,10,10.00,53.90
37,1710,5,5,0,10,10.00,53.40
38,386,5,5,0,10,10.00,52.40
39,11,5,5,0,10,10.00,51.20
40,3284,5,5,0,10,10.00,51.20
41,88,5,5,0,10,10.00,49.80
42,2481,5,4,0,9,10.00,49.40
43,3242,5,5,0,10,10.00,46.40
44,3103,5,5,0,10,10.00,46.30
45,3622,5,5,0,10,10.00,40.60
46,3483,5,5,0,10,10.00,40.10
47,1829,5,5,0,10,10.00,39.80
48,2815,5,5,0,10,10.00,36.90
49,1764,5,5,0,10,10.00,34.30
50,2662,5,4,0,9,10.00,32.40
51,2809,4,6,0,10,8.00,60.10
52,2338,4,6,0,10,8.00,56.40
53,236,4,5,0,9,8.00,56.20
54,3792,4,6,0,10,8.00,48.50
55,980,4,6,0,10,8.00,45.90
56,1732,4,5,0,9,8.00,45.20
57,3612,4,6,0,10,8.00,43.50
58,2655,4,6,0,10,8.00,42.00
59,1942,4,6,0,10,8.00,41.30
60,3505,4,6,0,10,8.00,40.70
61,447,4,5,0,9,8.00,35.20
62,1195,4,5,0,9,8.00,29.60
63,3880,4,6,0,10,8.00,27.00
64,2614,3,7,0,10,6.00,67.90
65,811,3,6,0,9,6.00,48.30
66,1502,3,7,0,10,6.00,47.30
67,2264,3,7,0,10,6.00,47.30
68,2974,3,7,0,10,6.00,45.00
69,2437,3,6,0,9,6.00,44.90
70,1165,3,7,0,10,6.00,44.30
71,1604,3,7,0,10,6.00,41.30
72,3478,3,6,0,9,6.00,40.50
73,3126,3,7,0,10,6.00,40.20
74,2197,3,7,0,10,6.00,37.30
75,2342,3,6,0,9,6.00,36.63
76,79,3,6,0,9,6.00,32.80
77,2797,3,5,0,8,6.00,32.70
78,3536,3,6,0,9,6.00,31.20
79,3278,3,6,0,9,6.00,29.60
80,337,2,7,0,9,4.00,52.80
81,1108,2,7,0,9,4.00,46.10
82,2080,2,7,0,9,4.00,37.00
83,1984,2,6,0,8,4.00,32.20
84,3358,2,7,0,9,4.00,31.60
85,3344,1,9,0,10,2.00,41.40
86,2660,1,8,0,9,2.00,39.00
87,3472,1,9,0,10,2.00,36.60
88,3748,0,7,0,7,0,28.80
