Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1986,26.00,132.00,70.00,154.00,10,8-1-0,0,9
2,3528,22.00,134.00,40.00,162.00,4,9-0-0,0,9
3,935,22.00,102.00,30.00,139.00,8,7-2-0,0,9
4,16,22.00,98.00,30.00,187.00,6,8-1-0,0,9
5,1208,22.00,97.00,20.00,169.00,8,7-2-0,0,9
6,2949,22.00,77.00,40.00,94.00,6,8-1-0,0,9
7,1982,20.00,121.00,50.00,107.00,6,7-2-0,0,9
8,1730,20.00,69.00,40.00,128.00,6,7-2-0,0,9
9,1987,18.00,121.00,40.00,108.00,4,7-2-0,0,9
10,1997,18.00,87.00,60.00,87.00,6,6-3-0,0,9
11,1984,18.00,69.00,70.00,70.00,4,7-2-0,0,9
12,967,18.00,60.00,70.00,69.00,10,4-5-0,0,9
13,1775,17.00,78.00,60.00,80.00,2,7-1-1,0,9
14,1825,16.00,93.00,20.00,121.00,4,6-3-0,0,9
15,1806,16.00,91.00,30.00,65.00,6,5-4-0,0,9
16,525,16.00,84.00,20.00,117.00,8,4-5-0,0,9
17,1810,16.00,79.00,10.00,81.00,2,7-2-0,0,9
18,1985,16.00,61.00,40.00,80.00,10,3-6-0,0,9
19,2560,16.00,54.00,10.00,38.00,6,5-4-0,0,9
20,1939,16.00,34.00,20.00,70.00,6,5-4-0,0,9
21,3284,15.00,91.00,30.00,100.00,4,5-3-1,0,9
22,3507,15.00,54.00,0,130.00,4,5-3-1,0,9
23,1782,14.00,58.00,40.00,74.00,6,4-5-0,0,9
24,1777,14.00,55.00,10.00,113.00,4,5-4-0,0,9
25,662,14.00,51.00,10.00,84.00,4,5-4-0,0,9
26,2001,14.00,40.00,30.00,64.00,4,5-4-0,0,9
27,931,14.00,24.00,50.00,83.00,6,4-5-0,0,9
28,1108,12.00,81.00,20.00,73.00,6,3-6-0,0,9
29,4208,12.00,78.00,10.00,59.00,4,4-5-0,0,9
30,2996,12.00,73.00,30.00,68.00,4,4-5-0,0,9
31,2457,12.00,64.00,10.00,93.00,2,5-4-0,0,9
32,1847,12.00,56.00,30.00,57.00,4,4-5-0,0,9
33,1763,12.00,53.00,20.00,63.00,6,3-6-0,0,9
34,3784,12.00,50.00,10.00,67.00,4,4-5-0,0,9
35,2357,12.00,46.00,30.00,90.00,4,4-5-0,0,9
36,2004,12.00,46.00,10.00,66.00,4,4-5-0,0,9
37,3485,12.00,40.00,40.00,74.00,2,5-4-0,0,9
38,3931,12.00,34.00,20.00,86.00,6,3-6-0,0,9
39,1094,12.00,27.00,40.00,57.00,6,3-6-0,0,9
40,2345,10.00,76.00,0,109.00,4,3-6-0,0,9
41,938,10.00,70.00,10.00,74.00,2,4-5-0,0,9
42,1448,10.00,59.00,10.00,74.00,2,4-5-0,0,9
43,1737,10.00,56.00,20.00,97.00,0,5-4-0,0,9
44,1769,10.00,56.00,10.00,64.00,6,2-7-0,0,9
45,2167,10.00,54.00,20.00,99.00,0,5-4-0,0,9
46,1802,10.00,53.00,40.00,93.00,0,5-4-0,0,9
47,2874,10.00,39.00,40.00,79.00,2,4-5-0,0,9
48,3764,10.00,39.00,0,52.00,2,4-5-0,0,9
49,3973,10.00,33.00,10.00,83.00,4,3-6-0,0,9
50,2335,10.00,28.00,20.00,95.00,4,3-6-0,0,9
51,1723,10.00,17.00,70.00,70.00,2,4-5-0,0,9
52,3798,9.00,72.00,10.00,68.00,4,2-6-1,0,9
53,2395,9.00,58.00,10.00,114.00,0,4-4-1,0,9
54,1764,8.00,90.00,20.00,47.00,0,4-5-0,0,9
55,2346,8.00,68.00,10.00,78.00,2,3-6-0,0,9
56,2972,8.00,48.00,10.00,62.00,2,3-6-0,0,9
57,2353,8.00,44.00,10.00,62.00,2,3-6-0,0,9
58,2164,8.00,32.00,20.00,57.00,4,2-7-0,0,9
59,1994,8.00,30.00,20.00,66.00,4,2-6-0,1,9
60,2410,8.00,29.00,10.00,29.00,6,1-8-0,0,9
61,1827,7.00,34.00,0,43.00,6,0-8-1,0,9
62,1785,6.00,32.00,10.00,32.00,0,3-6-0,0,9
63,937,6.00,24.00,10.00,60.00,0,3-6-0,0,9
64,1652,6.00,21.00,10.00,65.00,0,3-6-0,0,9
