Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,3824,18.00,200.00,401.00,240.00,312.00,9-0-0,0,9
2,1876,18.00,120.00,276.00,100.00,218.00,9-0-0,0,9
3,2655,16.00,170.00,291.00,80.00,176.00,8-1-0,0,9
4,1261,14.00,260.00,386.00,190.00,237.00,7-2-0,0,9
5,1225,14.00,240.00,346.00,80.00,246.00,7-2-0,0,9
6,4073,14.00,200.00,305.00,120.00,317.00,7-2-0,0,9
7,1319,14.00,140.00,350.00,110.00,224.00,7-2-0,0,9
8,3490,14.00,140.00,265.00,120.00,193.00,7-2-0,0,9
9,1758,14.00,140.00,216.00,50.00,282.00,7-2-0,0,9
10,346,13.00,220.00,335.00,170.00,258.00,6-2-1,0,9
11,343,12.00,240.00,296.00,80.00,59.00,6-3-0,0,9
12,1772,12.00,200.00,305.00,210.00,374.00,6-3-0,0,9
13,900,12.00,160.00,340.00,190.00,223.00,6-3-0,0,9
14,5327,12.00,160.00,167.00,90.00,87.00,6-3-0,0,9
15,4576,12.00,140.00,255.00,120.00,126.00,6-3-0,0,9
16,2200,12.00,140.00,240.00,70.00,305.00,6-3-0,0,9
17,2059,12.00,110.00,251.00,80.00,140.00,6-3-0,0,9
18,1553,12.00,100.00,331.00,60.00,116.00,6-3-0,0,9
19,1051,12.00,100.00,200.00,50.00,161.00,6-3-0,0,9
20,1539,12.00,60.00,246.00,40.00,149.00,6-3-0,0,9
21,4582,12.00,60.00,225.00,120.00,142.00,6-3-0,0,9
22,1024,10.00,200.00,305.00,180.00,253.00,5-4-0,0,9
23,2187,10.00,150.00,271.00,90.00,162.00,5-4-0,0,9
24,281,10.00,130.00,265.00,70.00,384.00,5-4-0,0,9
25,1287,10.00,120.00,246.00,60.00,208.00,5-4-0,0,9
26,1413,10.00,110.00,256.00,80.00,164.00,5-4-0,0,9
27,4976,10.00,110.00,250.00,100.00,341.00,5-4-0,0,9
28,2641,10.00,110.00,215.00,100.00,268.00,5-4-0,0,9
29,2614,10.00,100.00,260.00,110.00,237.00,5-4-0,0,9
30,4823,10.00,90.00,276.00,60.00,153.00,5-4-0,0,9
31,4074,10.00,80.00,247.00,30.00,166.00,5-4-0,0,9
32,5337,10.00,70.00,150.00,50.00,169.00,5-4-0,0,9
33,4452,8.00,230.00,235.00,110.00,190.00,4-5-0,0,9
34,5317,8.00,160.00,222.00,100.00,210.00,4-5-0,0,9
35,4267,8.00,130.00,195.00,140.00,198.00,4-5-0,0,9
36,3571,8.00,110.00,245.00,120.00,286.00,4-5-0,0,9
37,1648,8.00,100.00,246.00,90.00,183.00,4-5-0,0,9
38,4083,8.00,80.00,220.00,110.00,172.00,4-5-0,0,9
39,4243,8.00,70.00,179.00,40.00,194.00,4-5-0,0,9
40,342,8.00,50.00,225.00,60.00,140.00,4-5-0,0,9
41,3489,8.00,50.00,188.00,40.00,289.00,4-5-0,0,9
42,4505,8.00,50.00,166.00,60.00,286.00,4-5-0,0,9
43,4489,8.00,40.00,155.00,30.00,229.00,4-4-0,1,9
44,4533,7.00,70.00,320.00,60.00,125.00,3-5-1,0,9
45,5020,7.00,70.00,96.00,20.00,100.00,3-5-1,0,9
46,1311,7.00,50.00,202.00,70.00,131.00,3-5-1,0,9
47,5063,6.00,170.00,226.00,40.00,37.00,3-6-0,0,9
48,4901,6.00,130.00,235.00,140.00,145.00,3-6-0,0,9
49,1293,6.00,130.00,230.00,40.00,139.00,3-6-0,0,9
50,2974,6.00,120.00,201.00,180.00,283.00,3-6-0,0,9
51,3459,6.00,110.00,160.00,90.00,241.00,3-6-0,0,9
52,4075,6.00,100.00,206.00,40.00,153.00,3-6-0,0,9
53,4451,6.00,100.00,191.00,80.00,375.00,3-6-0,0,9
54,5180,6.00,20.00,195.00,70.00,178.00,3-6-0,0,9
55,4902,5.00,200.00,171.00,50.00,44.00,2-6-1,0,9
56,3196,5.00,90.00,211.00,40.00,168.00,2-6-1,0,9
57,4935,4.00,190.00,175.00,20.00,126.00,2-7-0,0,9
58,3140,4.00,130.00,196.00,40.00,85.00,2-7-0,0,9
59,2815,4.00,120.00,246.00,70.00,36.00,2-7-0,0,9
60,4468,4.00,110.00,112.00,50.00,191.00,2-6-0,1,9
61,4847,4.00,80.00,142.00,80.00,135.00,2-7-0,0,9
62,4516,4.00,70.00,140.00,60.00,127.00,2-6-0,1,9
63,4965,4.00,40.00,185.00,100.00,235.00,2-7-0,0,9
64,1398,4.00,40.00,125.00,50.00,119.00,2-5-0,2,9
65,4748,4.00,40.00,75.00,40.00,163.00,2-6-0,1,9
66,3976,4.00,20.00,173.00,0,232.00,2-7-0,0,9
67,5130,2.00,30.00,205.00,110.00,148.00,1-8-0,0,9
