Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,2412,20.00,260.00,412.00,270.00,313.00,10-2-0,0,12
2,2522,20.00,240.00,390.00,200.00,363.00,10-2-0,0,12
3,4077,18.00,200.00,402.00,100.00,438.00,9-3-0,0,12
4,492,16.00,280.00,336.00,200.00,97.00,8-4-0,0,12
5,4911,16.00,260.00,362.00,220.00,232.00,8-4-0,0,12
6,4915,16.00,230.00,436.00,230.00,219.00,8-4-0,0,12
7,1318,16.00,200.00,605.00,210.00,269.00,8-4-0,0,12
8,3826,16.00,170.00,301.00,140.00,233.00,8-4-0,0,12
9,2930,14.00,230.00,287.00,130.00,432.00,7-5-0,0,12
10,4030,14.00,180.00,341.00,120.00,133.00,7-5-0,0,12
11,3787,14.00,180.00,236.00,100.00,233.00,7-5-0,0,12
12,2660,14.00,120.00,375.00,180.00,286.00,7-5-0,0,12
13,3268,14.00,120.00,258.00,80.00,188.00,7-5-0,0,12
14,4205,14.00,110.00,366.00,120.00,138.00,7-5-0,0,12
15,3223,14.00,60.00,225.00,110.00,483.00,7-5-0,0,12
16,4038,12.00,210.00,341.00,110.00,311.00,6-6-0,0,12
17,4681,12.00,160.00,344.00,50.00,396.00,6-6-0,0,12
18,1899,12.00,160.00,307.00,130.00,385.00,6-6-0,0,12
19,3684,12.00,110.00,286.00,80.00,502.00,6-6-0,0,12
20,2976,12.00,90.00,251.00,110.00,345.00,6-6-0,0,12
21,2928,10.00,210.00,325.00,180.00,253.00,5-7-0,0,12
22,488,10.00,130.00,301.00,100.00,395.00,5-6-0,1,12
23,949,10.00,90.00,206.00,120.00,215.00,5-7-0,0,12
24,4918,8.00,200.00,375.00,190.00,304.00,4-8-0,0,12
25,4682,8.00,130.00,306.00,130.00,284.00,4-8-0,0,12
26,2910,8.00,130.00,302.00,120.00,194.00,4-8-0,0,12
27,4542,8.00,80.00,278.00,80.00,338.00,4-8-0,0,12
28,4683,6.00,100.00,321.00,130.00,162.00,3-9-0,0,12
29,4309,6.00,80.00,216.00,40.00,259.00,3-9-0,0,12
30,4512,6.00,80.00,170.00,110.00,194.00,3-9-0,0,12
31,4654,6.00,70.00,247.00,80.00,103.00,3-9-0,0,12
32,3681,2.00,50.00,240.00,90.00,286.00,1-10-0,1,12
