Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,16,3,575,283,2078,315,7-1-0,0,8
2,323,2.5,460,265,1910,265,6-2-0,0,8
3,6055,2.37,435,208,1468,290,6-2-0,0,8
4,3937,1.87,400,176,1796,310,6-2-0,0,8
5,5437,1.75,445,198,1636,285,5-3-0,0,8
6,5930,1.62,405,174,1597,250,5-3-0,0,8
7,5454,1.5,435,159,1071,315,4-4-0,0,8
8,5006,1.5,385,143,1310,215,5-3-0,0,8
9,5045,1.5,365,167,1198,270,4-4-0,0,8
10,7123,1.37,420,141,1395,270,5-3-0,0,8
11,4635,1.25,370,169,1230,320,3-5-0,0,8
12,4356,1.25,360,179,1260,300,3-5-0,0,8
13,5568,1.25,325,149,1259,270,4-4-0,0,8
14,9001,1.12,395,170,1081,260,3-5-0,0,8
15,6640,1,320,146,1247,265,3-5-0,0,8
16,9002,0.75,315,171,981,215,1-7-0,0,8
17,7075,0.5,365,148,974,325,1-7-0,0,8
18,5729,0.5,230,158,707,225,1-7-0,0,8
