Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1647,9,0,0,9,18.00,28.55
2,1640,8,0,1,9,17.00,29.11
3,341,8,1,0,9,16.00,33.66
4,103,8,1,0,9,16.00,33.55
5,395,7,2,0,9,14.00,31.55
6,486,7,2,0,9,14.00,30.44
7,1391,7,2,0,9,14.00,28.44
8,365,7,2,0,9,14.00,22.77
9,272,6,2,1,9,13.00,46.00
10,56,6,2,1,9,13.00,35.44
11,816,6,3,0,9,12.00,38.66
12,1403,5,2,2,9,12.00,37.22
13,321,6,3,0,9,12.00,34.22
14,87,6,3,0,9,12.00,30.33
15,1302,6,2,0,8,12.00,26.77
16,2607,6,3,0,9,12.00,18.77
17,2534,5,3,1,9,11.00,33.33
18,1370,5,3,1,9,11.00,22.66
19,2053,5,3,0,8,10.00,23.11
20,102,5,4,0,9,10.00,15.77
21,1495,5,4,0,9,10.00,13.55
22,3629,5,4,0,9,10.00,10.11
23,304,4,4,1,9,9.00,30.00
24,357,4,4,1,9,9.00,29.66
25,2641,4,4,1,9,9.00,21.88
26,484,4,5,0,9,8.00,38.11
27,316,4,5,0,9,8.00,32.33
28,834,4,5,0,9,8.00,26.77
29,369,4,5,0,9,8.00,25.88
30,303,4,5,0,9,8.00,25.33
31,433,4,5,0,9,8.00,24.55
32,3123,4,5,0,9,8.00,21.88
33,1980,4,5,0,9,8.00,21.11
34,3167,4,5,0,9,8.00,20.66
35,1712,4,5,0,9,8.00,20.55
36,708,4,5,0,9,8.00,17.44
37,1517,4,5,0,9,8.00,15.33
38,2234,4,4,0,8,8.00,15.00
39,225,3,5,1,9,7.00,35.22
40,2729,3,6,0,9,6.00,28.11
41,223,3,5,0,8,6.00,25.77
42,3015,3,6,0,9,6.00,25.66
43,2895,3,6,0,9,6.00,24.77
44,2539,3,6,0,9,6.00,23.11
45,3553,3,5,0,8,6.00,21.11
46,2229,3,6,0,9,6.00,20.22
47,423,3,5,0,8,6.00,15.33
48,204,2,7,0,9,4.00,26.22
49,1143,2,6,0,8,4.00,23.00
50,2559,2,6,0,8,4.00,19.00
51,709,2,7,0,9,4.00,18.22
52,1791,2,7,0,9,4.00,11.00
53,224,1,7,1,9,3.00,24.11
54,203,1,8,0,9,2.00,26.22
55,3182,1,7,0,8,2.00,16.66
56,3151,1,8,0,9,2.00,15.22
