Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,4513,1.58,1897.0,425.0,1100.0,600.0,12.0,9-3-0,12
2,1595,1.5,2115.0,323.0,980.0,750.0,25.0,9-3-0,12
3,5920,1.5,2068.0,253.0,960.0,850.0,13.0,9-3-0,12
4,3238,1.41,2327.0,524.0,1280.0,700.0,32.0,8-4-0,12
5,4309,1.33,1725.0,268.0,960.0,550.0,20.0,8-4-0,12
6,5468,1.33,1590.0,267.0,760.0,550.0,110.0,8-4-0,12
7,6129,1.33,1413.0,211.0,760.0,450.0,8.0,8-4-0,12
8,4495,1.25,1908.0,259.0,960.0,650.0,18.0,7-5-0,12
9,4061,1.16,2015.0,336.0,900.0,900.0,20.0,7-5-0,12
10,2147,1.16,2006.0,366.0,1040.0,750.0,1.0,7-5-0,12
11,2148,1.16,1831.0,140.0,960.0,650.0,16.0,7-5-0,12
12,4980,1.16,1787.0,310.0,940.0,650.0,2.0,7-5-0,12
13,5942,1.16,1666.0,138.0,960.0,500.0,6.0,7-5-0,12
14,4125,1.16,1593.0,180.0,860.0,550.0,18.0,7-5-0,12
15,3575,1.16,1535.0,210.0,780.0,400.0,30.0,7-5-0,12
16,4608,1.16,1458.0,175.0,700.0,400.0,23.0,7-5-0,12
17,2923,1.0,1639.0,232.0,880.0,500.0,14.0,6-6-0,12
18,4104,1.0,1529.0,246.0,880.0,400.0,9.0,6-6-0,12
19,2149,0.83,1532.0,250.0,800.0,450.0,17.0,5-7-0,12
20,3220,0.83,1436.0,192.0,780.0,400.0,16.0,5-7-0,12
21,3693,0.83,1427.0,293.0,700.0,450.0,12.0,5-6-0,12
22,4911,0.66,1669.0,194.0,820.0,500.0,59.0,4-8-0,12
23,6076,0.66,1600.0,147.0,920.0,400.0,5.0,4-8-0,12
24,3789,0.66,1590.0,142.0,840.0,450.0,20.0,4-8-0,12
25,2926,0.66,1528.0,164.0,820.0,400.0,13.0,4-8-0,12
26,5111,0.66,1482.0,147.0,980.0,400.0,12.0,4-8-0,12
27,4726,0.66,1429.0,267.0,860.0,350.0,9.0,4-8-0,12
28,4120,0.5,1440.0,87.0,800.0,450.0,20.0,3-9-0,12
29,2944,0.33,1271.0,140.0,720.0,250.0,21.0,2-10-0,12
30,3712,0.16,1446.0,152.0,740.0,550.0,16.0,1-11-0,12
