Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2415,9,1,0,10,18.00,13.70
2,3149,8,2,0,10,16.00,11.00
3,1771,8,2,0,10,16.00,5.50
4,1261,7,3,0,10,14.00,8.40
5,3265,6,2,2,10,14.00,8.10
6,1683,7,3,0,10,14.00,5.90
7,2967,7,3,0,10,14.00,5.80
8,2420,7,3,0,10,14.00,5.60
9,122,5,2,3,10,13.00,10.20
10,2974,6,3,1,10,13.00,8.40
11,1795,6,1,1,8,13.00,2.30
12,3344,5,3,2,10,12.00,10.80
13,3224,6,3,0,9,12.00,8.20
14,590,5,3,2,10,12.00,4.40
15,2655,6,4,0,10,12.00,4.00
16,1127,5,4,1,10,11.00,8.50
17,3318,5,4,1,10,11.00,5.40
18,3329,4,3,3,10,11.00,4.30
19,3091,5,4,1,10,11.00,3.40
20,1788,5,4,1,10,11.00,3.10
21,3635,5,4,1,10,11.00,2.30
22,1311,5,5,0,10,10.00,8.20
23,1648,4,4,2,10,10.00,7.10
24,3578,4,3,2,9,10.00,5.80
25,3319,5,4,0,9,10.00,1.20
26,587,4,5,1,10,9.00,6.80
27,1877,4,5,1,10,9.00,4.00
28,3404,4,5,1,10,9.00,1.10
29,3573,4,6,0,10,8.00,9.70
30,832,3,5,2,10,8.00,8.20
31,1414,4,6,0,10,8.00,8.00
32,1999,4,6,0,10,8.00,7.00
33,1746,4,6,0,10,8.00,6.40
34,3139,4,6,0,10,8.00,5.20
35,3694,3,3,2,8,8.00,2.80
36,3815,2,4,3,9,7.00,6.80
37,2540,3,6,1,10,7.00,6.70
38,2815,3,6,1,10,7.00,6.50
39,1002,3,5,1,9,7.00,5.40
40,3776,3,6,1,10,7.00,3.40
41,3227,3,5,1,9,7.00,3.00
42,1379,3,7,0,10,6.00,5.60
43,1439,3,2,0,5,6.00,5.40
44,1848,2,5,2,9,6.00,3.90
45,3581,2,7,1,10,5.00,2.20
46,3600,2,7,1,10,5.00,2.00
47,1415,1,7,2,10,4.00,5.80
48,442,2,8,0,10,4.00,0.90
