Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,932,8,0,2,10,18.00,19.20
2,2165,9,1,0,10,18.00,15.30
3,935,9,1,0,10,18.00,15.00
4,704,8,2,0,10,16.00,15.00
5,3660,7,2,1,10,15.00,9.20
6,476,6,2,2,10,14.00,19.70
7,2773,7,3,0,10,14.00,19.40
8,1108,7,3,0,10,14.00,12.30
9,1750,7,3,0,10,14.00,11.10
10,3457,7,3,0,10,14.00,7.80
11,2829,5,2,3,10,13.00,8.80
12,2369,6,4,0,10,12.00,12.60
13,1561,6,3,0,9,12.00,11.10
14,2395,6,3,0,9,12.00,10.00
15,1209,6,4,0,10,12.00,5.30
16,1742,5,4,1,10,11.00,13.30
17,3465,5,4,1,10,11.00,10.90
18,2359,5,4,1,10,11.00,10.30
19,2373,5,2,1,8,11.00,6.00
20,3247,5,5,0,10,10.00,13.20
21,2352,5,4,0,9,10.00,11.30
22,2388,5,4,0,9,10.00,10.40
23,2391,4,4,2,10,10.00,9.90
24,3152,5,5,0,10,10.00,7.10
25,2435,5,5,0,10,10.00,6.80
26,2795,5,4,0,9,10.00,2.60
27,2777,4,5,1,10,9.00,8.90
28,2004,4,5,1,10,9.00,7.20
29,2343,4,5,1,10,9.00,5.60
30,2333,4,4,1,9,9.00,4.90
31,3498,4,6,0,10,8.00,15.70
32,2424,4,6,0,10,8.00,11.20
33,2389,4,5,0,9,8.00,10.70
34,2372,3,5,2,10,8.00,9.90
35,2461,4,6,0,10,8.00,7.50
36,3179,4,6,0,10,8.00,7.20
37,3144,4,6,0,10,8.00,7.00
38,3169,4,6,0,10,8.00,4.40
39,2723,4,5,0,9,8.00,4.30
40,2354,3,5,1,9,7.00,16.10
41,3160,3,6,1,10,7.00,7.90
42,2398,3,6,1,10,7.00,4.90
43,2341,2,6,2,10,6.00,8.80
44,3507,3,7,0,10,6.00,8.30
45,2396,3,6,0,9,6.00,8.10
46,2765,3,6,0,9,6.00,7.20
47,3463,3,7,0,10,6.00,6.60
48,3593,2,7,1,10,5.00,9.30
49,3163,2,6,1,9,5.00,8.50
50,31,2,8,0,10,4.00,8.20
51,3355,1,4,2,7,4.00,1.20
52,2382,1,8,0,9,2.00,6.50
