Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,548,34.00,175.00,60.00,277.00,18,8-1-0,0,9
2,1717,33.00,246.00,60.00,343.00,16,8-0-1,0,9
3,68,32.00,156.00,110.00,259.00,18,7-2-0,0,9
4,11,30.00,149.00,80.00,193.00,18,6-3-0,0,9
5,1519,30.00,119.00,70.00,239.00,16,7-2-0,0,9
6,365,28.00,208.00,70.00,216.00,12,8-1-0,0,9
7,2122,28.00,192.00,100.00,179.00,14,7-2-0,0,9
8,1662,28.00,191.00,70.00,201.00,16,6-3-0,0,9
9,79,28.00,156.00,90.00,128.00,16,6-3-0,0,9
10,469,28.00,131.00,80.00,279.00,14,7-2-0,0,9
11,840,28.00,129.00,50.00,205.00,16,6-3-0,0,9
12,118,27.00,186.00,80.00,240.00,14,6-1-1,1,9
13,1640,27.00,156.00,80.00,172.00,14,6-2-1,0,9
14,2640,27.00,155.00,120.00,138.00,16,5-3-1,0,9
15,1983,26.00,186.00,60.00,204.00,14,6-3-0,0,9
16,1023,26.00,179.00,120.00,274.00,10,8-1-0,0,9
17,3310,26.00,178.00,80.00,134.00,14,6-3-0,0,9
18,714,26.00,172.00,130.00,168.00,12,7-2-0,0,9
19,1540,26.00,166.00,90.00,216.00,14,6-3-0,0,9
20,181,26.00,164.00,120.00,178.00,12,7-2-0,0,9
21,2834,26.00,162.00,90.00,239.00,10,8-1-0,0,9
22,107,26.00,137.00,110.00,181.00,12,7-2-0,0,9
23,3630,26.00,91.00,130.00,122.00,14,6-3-0,0,9
24,4055,26.00,85.00,80.00,143.00,16,5-4-0,0,9
25,2062,24.00,160.00,40.00,152.00,14,5-4-0,0,9
26,4122,24.00,142.00,50.00,146.00,16,4-5-0,0,9
27,1635,24.00,141.00,100.00,144.00,8,8-1-0,0,9
28,330,24.00,128.00,70.00,275.00,12,6-3-0,0,9
29,3230,24.00,126.00,100.00,116.00,14,5-4-0,0,9
30,3512,24.00,117.00,60.00,142.00,18,3-6-0,0,9
31,2471,24.00,100.00,50.00,196.00,14,5-4-0,0,9
32,4089,23.00,109.00,20.00,138.00,14,4-4-1,0,9
33,2067,22.00,174.00,70.00,130.00,14,4-5-0,0,9
34,175,22.00,164.00,90.00,148.00,12,5-4-0,0,9
35,610,22.00,160.00,70.00,242.00,10,6-3-0,0,9
36,340,22.00,154.00,70.00,179.00,16,3-6-0,0,9
37,4188,22.00,152.00,70.00,130.00,16,3-6-0,0,9
38,2468,22.00,150.00,120.00,128.00,10,6-3-0,0,9
39,3018,22.00,128.00,70.00,134.00,12,5-4-0,0,9
40,3245,22.00,118.00,60.00,169.00,12,5-4-0,0,9
41,1241,22.00,112.00,50.00,190.00,8,7-2-0,0,9
42,4320,22.00,111.00,70.00,132.00,12,5-4-0,0,9
43,2200,22.00,104.00,60.00,132.00,14,4-5-0,0,9
44,1219,22.00,81.00,80.00,109.00,14,4-5-0,0,9
45,842,21.00,171.00,40.00,216.00,12,4-4-1,0,9
46,555,21.00,141.00,90.00,161.00,8,6-2-1,0,9
47,3937,20.00,179.00,60.00,138.00,8,6-3-0,0,9
48,111,20.00,177.00,50.00,297.00,8,6-3-0,0,9
49,1629,20.00,156.00,120.00,103.00,12,4-5-0,0,9
50,2460,20.00,142.00,90.00,183.00,10,5-4-0,0,9
51,816,20.00,128.00,90.00,126.00,12,4-5-0,0,9
52,1622,20.00,120.00,70.00,100.00,16,2-7-0,0,9
53,3930,20.00,115.00,60.00,118.00,12,4-5-0,0,9
54,3357,20.00,111.00,70.00,218.00,8,6-3-0,0,9
55,45,20.00,100.00,50.00,131.00,14,3-6-0,0,9
56,222,20.00,99.00,120.00,138.00,12,4-5-0,0,9
57,4043,20.00,96.00,30.00,94.00,14,3-6-0,0,9
58,1209,20.00,86.00,70.00,106.00,12,4-5-0,0,9
59,4294,20.00,76.00,90.00,113.00,12,4-5-0,0,9
60,86,19.00,164.00,70.00,158.00,10,4-4-1,0,9
61,2936,19.00,154.00,70.00,166.00,10,4-4-1,0,9
62,2902,19.00,140.00,60.00,156.00,10,4-4-1,0,9
63,4228,19.00,74.00,100.00,99.00,14,2-6-1,0,9
64,488,18.00,202.00,50.00,216.00,6,6-3-0,0,9
65,191,18.00,150.00,80.00,125.00,14,2-7-0,0,9
66,3990,18.00,146.00,60.00,171.00,8,5-4-0,0,9
67,4086,18.00,135.00,20.00,129.00,8,5-4-0,0,9
68,2705,18.00,130.00,40.00,104.00,10,4-5-0,0,9
69,611,18.00,129.00,60.00,226.00,10,4-5-0,0,9
70,3504,18.00,111.00,110.00,163.00,10,4-5-0,0,9
71,1772,18.00,107.00,70.00,153.00,8,5-4-0,0,9
72,1329,18.00,105.00,80.00,132.00,12,3-6-0,0,9
73,115,18.00,104.00,90.00,76.00,10,4-5-0,0,9
74,3176,18.00,95.00,60.00,112.00,12,3-6-0,0,9
75,435,18.00,92.00,80.00,154.00,10,4-5-0,0,9
76,375,18.00,89.00,70.00,103.00,12,3-6-0,0,9
77,41,18.00,79.00,30.00,105.00,12,3-6-0,0,9
78,3627,18.00,77.00,110.00,105.00,14,2-7-0,0,9
79,3255,18.00,66.00,60.00,100.00,16,1-8-0,0,9
80,2194,17.00,144.00,60.00,194.00,8,4-4-1,0,9
81,1126,16.00,138.00,40.00,124.00,10,3-6-0,0,9
82,1937,16.00,105.00,40.00,77.00,10,3-6-0,0,9
83,1506,16.00,99.00,70.00,87.00,12,2-7-0,0,9
84,3566,16.00,98.00,70.00,105.00,8,4-5-0,0,9
85,2059,16.00,94.00,60.00,104.00,12,2-7-0,0,9
86,3083,16.00,88.00,70.00,89.00,12,2-7-0,0,9
87,4379,16.00,85.00,60.00,105.00,16,0-9-0,0,9
88,639,16.00,66.00,70.00,94.00,12,2-7-0,0,9
89,457,16.00,64.00,80.00,87.00,10,3-6-0,0,9
90,1111,16.00,62.00,100.00,91.00,12,2-7-0,0,9
91,271,14.00,132.00,80.00,102.00,8,3-6-0,0,9
92,4183,14.00,126.00,40.00,91.00,10,2-7-0,0,9
93,2574,14.00,115.00,30.00,150.00,10,2-7-0,0,9
94,378,14.00,106.00,110.00,128.00,6,4-5-0,0,9
95,360,14.00,68.00,80.00,97.00,8,3-6-0,0,9
96,4021,12.00,139.00,50.00,77.00,8,2-7-0,0,9
97,329,12.00,139.00,40.00,119.00,8,2-7-0,0,9
98,1178,12.00,130.00,30.00,114.00,10,1-8-0,0,9
99,2517,12.00,110.00,60.00,116.00,6,3-6-0,0,9
100,4262,12.00,43.00,50.00,79.00,10,1-8-0,0,9
