Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,3990,22.00,328.00,130.00,431.00,11-1-0,0,12
2,3386,20.00,278.00,200.00,398.00,10-2-0,0,12
3,3396,20.00,134.00,200.00,413.00,10-2-0,0,12
4,3985,18.00,302.00,160.00,406.00,9-3-0,0,12
5,3117,18.00,264.00,220.00,302.00,9-3-0,0,12
6,3977,18.00,222.00,100.00,400.00,9-3-0,0,12
7,2626,18.00,136.00,90.00,495.00,9-3-0,0,12
8,3360,17.00,264.00,240.00,219.00,8-3-1,0,12
9,4007,17.00,228.00,200.00,378.00,8-3-1,0,12
10,3986,16.00,242.00,110.00,292.00,8-4-0,0,12
11,3387,16.00,224.00,170.00,351.00,8-4-0,0,12
12,3710,16.00,198.00,150.00,247.00,8-4-0,0,12
13,1517,14.00,262.00,90.00,317.00,7-5-0,0,12
14,4492,14.00,224.00,120.00,400.00,7-5-0,0,12
15,2702,12.00,208.00,110.00,223.00,6-6-0,0,12
16,4526,12.00,182.00,80.00,300.00,6-6-0,0,12
17,3988,12.00,180.00,130.00,270.00,6-6-0,0,12
18,4491,12.00,140.00,240.00,249.00,6-6-0,0,12
19,296,11.00,186.00,130.00,181.00,5-6-1,0,12
20,3550,11.00,144.00,100.00,248.00,5-6-1,0,12
21,3996,10.00,234.00,60.00,317.00,5-7-0,0,12
22,3983,10.00,176.00,70.00,241.00,5-7-0,0,12
23,509,10.00,150.00,60.00,233.00,5-7-0,0,12
24,3544,10.00,132.00,120.00,208.00,5-7-0,0,12
25,3989,10.00,108.00,30.00,229.00,5-7-0,0,12
26,4594,9.00,102.00,50.00,180.00,4-7-1,0,12
27,3979,8.00,180.00,40.00,217.00,4-8-0,0,12
28,3987,8.00,174.00,90.00,159.00,4-8-0,0,12
29,1075,8.00,144.00,170.00,177.00,4-8-0,0,12
30,3533,8.00,140.00,80.00,174.00,4-8-0,0,12
31,4167,8.00,132.00,60.00,240.00,4-8-0,0,12
32,3379,8.00,126.00,100.00,168.00,4-8-0,0,12
33,3975,8.00,114.00,60.00,275.00,4-8-0,0,12
34,3532,8.00,114.00,40.00,190.00,4-8-0,0,12
35,3382,8.00,92.00,130.00,246.00,4-8-0,0,12
36,3530,7.00,126.00,120.00,197.00,3-8-1,0,12
37,3981,6.00,142.00,70.00,177.00,3-9-0,0,12
38,3969,6.00,108.00,140.00,112.00,3-9-0,0,12
39,4010,4.00,84.00,70.00,141.00,2-10-0,0,12
