Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,781,9,0,0,9,18.00,29.00
2,1126,9,0,0,9,18.00,28.44
3,1559,9,0,0,9,18.00,21.22
4,1038,9,0,0,9,18.00,19.66
5,3193,7,1,0,8,14.00,40.77
6,695,7,2,0,9,14.00,27.44
7,1708,7,2,0,9,14.00,26.66
8,2010,6,3,0,9,12.00,34.33
9,888,6,3,0,9,12.00,29.88
10,2172,6,3,0,9,12.00,29.55
11,3496,6,2,0,8,12.00,22.33
12,1629,6,3,0,9,12.00,20.88
13,1014,6,3,0,9,12.00,19.00
14,3138,5,4,0,9,10.00,37.55
15,379,5,4,0,9,10.00,36.77
16,279,5,4,0,9,10.00,26.66
17,1450,5,3,0,8,10.00,25.77
18,291,5,2,0,7,10.00,24.66
19,2603,5,4,0,9,10.00,22.88
20,3010,5,4,0,9,10.00,21.44
21,3201,5,4,0,9,10.00,18.77
22,3484,5,3,0,8,10.00,10.66
23,1308,5,4,0,9,10.00,9.00
24,306,4,3,1,8,9.00,14.66
25,2399,4,3,1,8,9.00,12.22
26,156,4,5,0,9,8.00,36.22
27,3262,4,5,0,9,8.00,28.33
28,3494,4,5,0,9,8.00,26.66
29,1317,4,5,0,9,8.00,25.55
30,1241,4,5,0,9,8.00,24.22
31,2350,4,5,0,9,8.00,22.55
32,3591,4,5,0,9,8.00,22.00
33,1001,4,5,0,9,8.00,19.11
34,2941,4,5,0,9,8.00,18.77
35,3324,4,5,0,9,8.00,17.00
36,3777,4,4,0,8,8.00,15.00
37,3264,4,4,0,8,8.00,12.88
38,677,4,5,0,9,8.00,10.11
39,963,3,5,1,9,7.00,16.44
40,2340,3,5,1,9,7.00,11.44
41,2252,3,6,0,9,6.00,33.44
42,174,3,6,0,9,6.00,25.44
43,964,3,6,0,9,6.00,21.55
44,1270,3,6,0,9,6.00,19.77
45,144,3,6,0,9,6.00,19.00
46,3356,3,5,0,8,6.00,18.88
47,1274,3,5,0,8,6.00,17.55
48,3652,3,6,0,9,6.00,12.33
49,1590,3,4,0,7,6.00,10.88
50,3266,3,5,0,8,6.00,9.44
51,1248,3,5,0,8,6.00,7.11
52,2632,2,5,0,7,4.00,19.44
53,2051,2,6,0,8,4.00,19.44
54,120,2,6,0,8,4.00,19.33
55,2665,2,3,0,5,4.00,17.00
56,276,1,7,1,9,3.00,20.55
57,1787,1,7,1,9,3.00,12.77
58,2197,0,8,0,8,0,27.22
