Rank,Team,Qual Avg,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,33,160,120,80,716,446,81,0,9
2,503,115,80,20,560,372,132,0,10
3,3547,111,80,20,508,374,133,0,10
4,3641,106,120,0,428,376,51,0,9
5,548,100,240,20,396,284,84,0,10
6,4130,99,40,20,404,362,72,0,9
7,217,99,80,0,516,328,77,0,10
8,494,99,80,120,352,282,67,0,9
9,68,96,80,20,408,250,114,0,9
10,2834,92,80,20,416,304,119,0,10
11,67,89,40,40,396,228,123,0,9
12,1918,82,40,20,356,260,80,0,9
13,470,80,0,40,348,274,91,0,9
14,469,79,40,0,348,248,85,0,9
15,70,79,120,40,352,256,38,0,10
16,240,75,120,20,252,278,91,0,10
17,2832,69,0,20,284,238,92,0,9
18,74,69,0,20,300,244,80,0,9
19,2337,69,80,20,276,246,85,0,10
20,1718,69,80,0,240,268,111,0,10
21,1504,69,80,0,264,190,89,0,9
22,5436,69,80,20,268,242,93,0,10
23,5090,67,40,20,288,244,101,0,10
24,302,66,0,20,228,280,78,0,9
25,3322,65,40,20,208,220,182,0,10
26,1528,59,40,0,200,178,69,0,8
27,1732,59,80,0,228,172,69,0,9
28,3604,58,80,0,256,188,78,0,10
29,3538,57,0,20,248,206,109,0,10
30,245,57,40,0,204,218,59,0,9
31,910,55,40,0,164,122,174,0,9
32,66,54,40,0,188,154,112,0,9
33,226,53,0,0,232,222,88,0,10
34,4395,52,0,20,232,226,68,0,10
35,51,51,0,0,180,176,116,0,9
36,280,48,0,0,204,166,70,0,9
37,5695,47,40,0,152,220,81,0,10
38,4507,36,40,0,100,126,72,0,9
