Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1678,26.00,280.00,502.00,280.00,419.00,13-0-0,0,13
2,399,22.00,370.00,341.00,190.00,431.00,11-2-0,0,13
3,294,22.00,180.00,466.00,160.00,465.00,11-2-0,0,13
4,599,18.00,290.00,300.00,150.00,374.00,9-4-0,0,13
5,701,18.00,170.00,371.00,180.00,327.00,9-4-0,0,13
6,2493,18.00,100.00,311.00,90.00,245.00,9-4-0,0,13
7,2339,18.00,100.00,293.00,90.00,357.00,9-4-0,0,13
8,1828,16.00,250.00,478.00,90.00,418.00,8-5-0,0,13
9,2375,16.00,250.00,265.00,70.00,330.00,8-5-0,0,13
10,4201,16.00,210.00,341.00,90.00,284.00,8-5-0,0,13
11,4705,16.00,140.00,301.00,150.00,309.00,8-5-0,0,13
12,2659,16.00,120.00,330.00,70.00,231.00,8-5-0,0,13
13,597,16.00,120.00,276.00,80.00,307.00,8-5-0,0,13
14,4574,14.00,300.00,308.00,60.00,170.00,7-6-0,0,13
15,4499,14.00,250.00,366.00,60.00,171.00,7-6-0,0,13
16,3473,14.00,220.00,336.00,60.00,374.00,7-6-0,0,13
17,980,14.00,180.00,413.00,90.00,227.00,7-6-0,0,13
18,4114,14.00,170.00,216.00,20.00,429.00,7-6-0,0,13
19,1967,14.00,150.00,412.00,120.00,278.00,7-6-0,0,13
20,5012,14.00,80.00,302.00,80.00,335.00,7-6-0,0,13
21,4322,12.00,320.00,401.00,60.00,238.00,6-7-0,0,13
22,4161,12.00,110.00,391.00,60.00,272.00,6-7-0,0,13
23,5121,12.00,110.00,257.00,100.00,108.00,6-7-0,0,13
24,1160,12.00,90.00,246.00,40.00,233.00,6-7-0,0,13
25,2839,12.00,80.00,284.00,120.00,273.00,6-7-0,0,13
26,2496,12.00,70.00,271.00,60.00,165.00,6-7-0,0,13
27,4139,12.00,70.00,235.00,80.00,225.00,6-7-0,0,13
28,3470,10.00,220.00,333.00,80.00,232.00,5-8-0,0,13
29,3925,10.00,200.00,267.00,100.00,281.00,5-8-0,0,13
30,4413,10.00,170.00,267.00,130.00,208.00,5-8-0,0,13
31,5107,10.00,150.00,256.00,50.00,192.00,5-8-0,0,13
32,3521,10.00,90.00,226.00,100.00,264.00,5-7-0,1,13
33,2429,10.00,70.00,316.00,90.00,180.00,5-8-0,0,13
34,4140,8.00,100.00,288.00,60.00,384.00,4-9-0,0,13
35,4056,6.00,110.00,223.00,50.00,244.00,3-10-0,0,13
36,5100,6.00,100.00,230.00,30.00,144.00,3-10-0,0,13
37,4144,6.00,40.00,246.00,90.00,245.00,3-10-0,0,13
38,4556,6.00,30.00,206.00,80.00,283.00,3-10-0,0,13
39,2984,4.00,90.00,215.00,80.00,167.00,2-11-0,0,13
40,3295,4.00,50.00,221.00,20.00,296.00,2-11-0,0,13
