2004sac_f1m1,frc254,frc753,frc955,frc1120,frc945,frc481,210,125
2004sac_f1m2,frc254,frc753,frc955,frc1120,frc945,frc481,95,70
2004sac_qf1m1,frc254,frc753,frc955,frc1147,frc1388,frc1458,140,15
2004sac_qf1m2,frc254,frc753,frc955,frc1147,frc1388,frc1458,105,60
2004sac_qf2m1,frc961,frc1097,frc981,frc841,frc599,frc701,40,75
2004sac_qf2m2,frc961,frc1097,frc981,frc841,frc599,frc701,45,25
2004sac_qf2m3,frc961,frc1097,frc981,frc841,frc599,frc701,70,25
2004sac_qf3m1,frc1120,frc945,frc481,frc1427,frc114,frc692,70,20
2004sac_qf3m2,frc1120,frc945,frc481,frc1427,frc114,frc692,110,80
2004sac_qf4m1,frc835,frc869,frc1072,frc1151,frc1425,frc833,120,85
2004sac_qf4m2,frc835,frc869,frc1072,frc1151,frc1425,frc833,90,15
2004sac_qm1,frc1072,frc1427,frc701,frc1387,25,5
2004sac_qm10,frc841,frc692,frc1387,frc1072,30,15
2004sac_qm11,frc827,frc945,frc961,frc114,50,70
2004sac_qm12,frc1323,frc115,frc1138,frc1120,40,75
2004sac_qm13,frc624,frc1147,frc869,frc833,15,60
2004sac_qm14,frc753,frc1151,frc254,frc480,125,80
2004sac_qm15,frc1388,frc955,frc100,frc1097,80,15
2004sac_qm16,frc981,frc1425,frc1458,frc481,25,20
2004sac_qm17,frc692,frc1387,frc701,frc599,0,50
2004sac_qm18,frc1072,frc841,frc835,frc1427,15,15
2004sac_qm19,frc1120,frc1323,frc945,frc961,35,110
2004sac_qm2,frc835,frc841,frc692,frc599,105,25
2004sac_qm20,frc115,frc1138,frc114,frc827,5,30
2004sac_qm21,frc1151,frc254,frc833,frc624,80,20
2004sac_qm22,frc480,frc753,frc1147,frc869,25,45
2004sac_qm23,frc1425,frc1458,frc1097,frc1388,15,30
2004sac_qm24,frc481,frc981,frc955,frc100,25,10
2004sac_qm25,frc1323,frc114,frc1387,frc835,20,90
2004sac_qm26,frc961,frc115,frc599,frc1072,45,30
2004sac_qm27,frc827,frc1120,frc1427,frc692,35,20
2004sac_qm28,frc1138,frc945,frc841,frc701,80,30
2004sac_qm29,frc254,frc1147,frc1458,frc955,50,45
2004sac_qm3,frc114,frc1138,frc1120,frc961,20,70
2004sac_qm30,frc1388,frc481,frc624,frc480,100,30
2004sac_qm31,frc981,frc1097,frc869,frc1151,20,35
2004sac_qm32,frc753,frc833,frc100,frc1425,80,50
2004sac_qm33,frc114,frc599,frc1072,frc1323,25,30
2004sac_qm34,frc835,frc961,frc115,frc1387,70,30
2004sac_qm35,frc701,frc827,frc1120,frc841,40,60
2004sac_qm36,frc945,frc1427,frc692,frc1138,100,40
2004sac_qm37,frc480,frc1458,frc955,frc624,30,20
2004sac_qm38,frc1147,frc1388,frc481,frc254,20,70
2004sac_qm39,frc1425,frc869,frc1151,frc100,120,15
2004sac_qm4,frc115,frc827,frc945,frc1323,5,120
2004sac_qm40,frc1097,frc753,frc833,frc981,120,20
2004sac_qm41,frc1427,frc841,frc1323,frc480,60,50
2004sac_qm42,frc599,frc955,frc827,frc1151,40,20
2004sac_qm43,frc961,frc1072,frc1458,frc1147,50,0
2004sac_qm44,frc1138,frc833,frc1387,frc481,20,10
2004sac_qm45,frc100,frc701,frc624,frc114,20,25
2004sac_qm46,frc869,frc692,frc1388,frc115,65,15
2004sac_qm47,frc254,frc835,frc981,frc1120,200,70
2004sac_qm48,frc1097,frc945,frc753,frc1425,50,120
2004sac_qm49,frc1458,frc961,frc841,frc480,35,40
2004sac_qm5,frc480,frc869,frc833,frc254,15,75
2004sac_qm50,frc114,frc100,frc1151,frc1427,15,75
2004sac_qm51,frc1147,frc1323,frc1425,frc1097,25,20
2004sac_qm52,frc833,frc1387,frc955,frc827,35,15
2004sac_qm53,frc624,frc599,frc981,frc1138,15,25
2004sac_qm54,frc1120,frc753,frc1072,frc1388,115,30
2004sac_qm55,frc701,frc869,frc692,frc481,70,15
2004sac_qm56,frc945,frc254,frc835,frc115,140,25
2004sac_qm57,frc1151,frc1425,frc841,frc961,70,50
2004sac_qm58,frc701,frc692,frc480,frc1097,5,65
2004sac_qm59,frc833,frc1458,frc115,frc945,15,130
2004sac_qm6,frc1151,frc624,frc1147,frc753,15,60
2004sac_qm60,frc100,frc1147,frc1323,frc835,30,30
2004sac_qm61,frc481,frc624,frc1427,frc114,25,70
2004sac_qm62,frc1388,frc981,frc827,frc1072,10,25
2004sac_qm63,frc1387,frc955,frc869,frc753,70,105
2004sac_qm64,frc254,frc1120,frc599,frc1138,85,65
2004sac_qm65,frc835,frc692,frc1425,frc833,75,50
2004sac_qm66,frc1097,frc701,frc115,frc1151,30,80
2004sac_qm67,frc1072,frc1458,frc1138,frc1323,75,35
2004sac_qm68,frc480,frc100,frc1120,frc945,15,120
2004sac_qm69,frc1427,frc624,frc961,frc955,35,35
2004sac_qm7,frc481,frc100,frc1097,frc1458,15,40
2004sac_qm70,frc114,frc1388,frc1147,frc841,25,60
2004sac_qm71,frc481,frc827,frc753,frc254,65,105
2004sac_qm72,frc599,frc1387,frc869,frc981,50,40
2004sac_qm8,frc955,frc981,frc1425,frc1388,25,100
2004sac_qm9,frc599,frc835,frc1427,frc701,75,25
2004sac_sf1m1,frc254,frc753,frc955,frc961,frc1097,frc981,120,25
2004sac_sf1m2,frc254,frc753,frc955,frc961,frc1097,frc981,70,45
2004sac_sf2m1,frc1120,frc945,frc481,frc835,frc869,frc1072,140,45
2004sac_sf2m2,frc1120,frc945,frc481,frc835,frc869,frc1072,30,75
2004sac_sf2m3,frc1120,frc945,frc481,frc835,frc869,frc1072,150,125
