Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,118,195.5,180,692,400,185,504,10
2,1678,188.1,200,652,320,219,490,10
3,195,179.0,20,712,300,254,504,10
4,3130,170.9,6,740,260,257,452,10
5,3039,162.1,40,688,280,183,430,10
6,1720,161.5,60,632,240,261,428,10
7,3641,160.9,0,644,280,237,460,10
8,2877,160.2,0,668,240,248,446,10
9,1756,159.5,160,656,200,115,464,10
10,4678,155.2,126,644,160,196,432,10
11,4118,154.8,60,580,400,162,352,10
12,1983,154.4,0,660,240,248,396,10
13,2468,154.2,20,724,140,198,466,10
14,955,151.2,20,588,260,196,466,10
15,5188,150.1,20,596,240,205,440,10
16,133,149.5,26,608,300,185,376,10
17,4522,149.2,66,628,300,118,380,10
18,4188,147.9,26,568,240,235,410,10
19,2522,147.6,40,532,320,202,394,10
20,2607,147.4,20,572,240,212,436,10
21,3314,146.0,0,616,280,210,354,10
22,1918,145.5,40,596,200,211,414,10
23,3467,139.9,20,612,200,165,426,10
24,175,138.8,20,604,240,152,378,10
25,1671,136.5,40,592,200,151,406,10
26,25,134.7,0,624,120,215,388,10
27,5489,132.1,20,472,280,203,346,10
28,3574,132.0,20,548,160,214,378,10
29,4954,129.9,20,508,200,173,404,10
30,3838,128.1,40,476,280,147,338,10
31,1741,127.7,0,548,220,215,312,10
32,3464,127.6,20,492,240,188,354,10
33,3171,125.1,20,420,280,189,342,10
34,932,123.3,20,420,300,167,338,10
35,587,121.8,60,444,220,126,368,10
36,1466,121.4,0,420,340,188,272,10
37,4013,120.8,0,428,280,158,354,10
38,2761,120.8,20,484,200,130,392,10
39,1111,120.3,20,392,240,225,350,10
40,4471,119.7,20,452,200,183,342,10
41,537,118.2,40,464,140,136,408,10
42,5529,117.9,0,456,240,165,318,10
43,3539,116.4,0,396,200,282,304,10
44,4903,116.3,0,388,280,155,340,10
45,155,115.3,20,392,280,139,334,10
46,2039,115.1,20,384,300,155,292,10
47,74,113.5,20,460,200,151,316,10
48,2158,112.9,0,380,260,215,280,10
49,190,112.9,40,372,200,201,316,10
50,295,112.3,20,412,200,179,318,10
51,3015,111.7,20,392,240,103,380,10
52,269,109.4,20,368,220,148,338,10
53,3940,109.3,6,384,240,123,340,10
54,321,109.2,20,380,240,158,312,10
55,5710,109.0,20,384,260,122,310,10
56,4501,108.5,0,400,180,187,336,10
57,5012,107.1,0,388,240,145,304,10
58,3785,106.6,40,356,280,96,306,10
59,3137,106.4,20,340,240,202,262,10
60,4575,104.1,20,332,200,157,338,10
61,5495,103.9,40,392,200,165,248,10
62,5526,101.9,4,396,140,189,296,10
63,4322,101.0,20,296,200,236,276,10
64,4541,99.1,20,320,240,183,228,10
65,5479,98.8,12,308,280,156,250,10
66,4842,95.9,24,340,180,133,282,10
67,533,95.6,20,368,80,160,334,10
68,4841,91.9,0,336,220,135,258,10
69,100,90.7,6,352,180,95,274,10
70,2339,89.7,0,312,240,121,236,10
71,5511,89.5,0,284,180,125,312,10
72,3310,88.7,0,312,220,107,272,10
73,5027,87.2,20,288,240,160,206,10
74,1094,87.1,0,256,280,117,230,10
75,540,72.2,24,208,160,112,218,10
76,5418,72.1,20,252,120,135,224,10
