Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,435,18.00,232.00,180.00,171.00,9-0-0,0,9
2,1249,18.00,160.00,170.00,192.00,9-0-0,0,9
3,1519,16.00,186.00,120.00,491.00,8-1-0,0,9
4,1413,16.00,162.00,220.00,369.00,8-1-0,0,9
5,1539,14.00,200.00,230.00,159.00,7-2-0,0,9
6,2059,14.00,184.00,170.00,267.00,7-2-0,0,9
7,4824,13.00,174.00,160.00,197.00,6-2-1,0,9
8,2483,12.00,160.00,180.00,197.00,6-3-0,0,9
9,3701,12.00,144.00,180.00,116.00,6-3-0,0,9
10,3506,12.00,144.00,120.00,136.00,6-3-0,0,9
11,3319,12.00,92.00,310.00,164.00,6-3-0,0,9
12,587,12.00,92.00,200.00,107.00,6-3-0,0,9
13,3737,12.00,86.00,160.00,167.00,6-3-0,0,9
14,1533,12.00,74.00,190.00,140.00,6-3-0,0,9
15,3196,12.00,64.00,220.00,144.00,6-3-0,0,9
16,3459,11.00,190.00,70.00,149.00,5-3-1,0,9
17,2642,10.00,206.00,160.00,230.00,5-4-0,0,9
18,1287,10.00,202.00,120.00,197.00,5-4-0,0,9
19,4534,10.00,126.00,130.00,116.00,5-4-0,0,9
20,2393,10.00,114.00,180.00,55.00,5-4-0,0,9
21,3971,10.00,102.00,160.00,81.00,5-4-0,0,9
22,4828,10.00,100.00,160.00,164.00,5-4-0,0,9
23,3336,10.00,96.00,250.00,114.00,5-4-0,0,9
24,4829,10.00,84.00,190.00,104.00,5-4-0,0,9
25,4291,10.00,62.00,70.00,219.00,5-4-0,0,9
26,3331,10.00,44.00,110.00,153.00,5-4-0,0,9
27,2640,9.00,70.00,150.00,93.00,4-4-1,0,9
28,34,8.00,132.00,80.00,161.00,4-5-0,0,9
29,122,8.00,126.00,100.00,77.00,4-5-0,0,9
30,3215,8.00,118.00,150.00,133.00,4-5-0,0,9
31,3270,8.00,116.00,100.00,196.00,4-5-0,0,9
32,4481,8.00,102.00,140.00,52.00,4-5-0,0,9
33,3796,8.00,84.00,80.00,221.00,4-5-0,0,9
34,4083,8.00,80.00,80.00,117.00,4-4-0,1,9
35,4816,8.00,74.00,150.00,79.00,4-5-0,0,9
36,4290,8.00,68.00,130.00,97.00,4-5-0,0,9
37,1086,8.00,66.00,150.00,96.00,4-5-0,0,9
38,3661,8.00,64.00,20.00,177.00,4-5-0,0,9
39,4369,7.00,142.00,50.00,128.00,3-5-1,0,9
40,3680,7.00,108.00,80.00,139.00,3-5-1,0,9
41,4795,6.00,158.00,90.00,192.00,3-6-0,0,9
42,3763,6.00,146.00,120.00,99.00,3-6-0,0,9
43,900,6.00,116.00,80.00,88.00,3-6-0,0,9
44,4245,6.00,68.00,160.00,83.00,3-6-0,0,9
45,1225,6.00,64.00,170.00,141.00,3-6-0,0,9
46,4561,6.00,48.00,170.00,132.00,3-6-0,0,9
47,3845,6.00,46.00,60.00,64.00,3-6-0,0,9
48,2655,6.00,42.00,210.00,87.00,3-6-0,0,9
49,3229,5.00,52.00,120.00,76.00,2-6-1,0,9
50,116,4.00,94.00,60.00,65.00,2-7-0,0,9
51,4767,4.00,78.00,50.00,108.00,2-7-0,0,9
52,3402,2.00,92.00,60.00,30.00,1-8-0,0,9
53,3822,2.00,70.00,50.00,87.00,1-8-0,0,9
54,3811,2.00,66.00,70.00,90.00,1-8-0,0,9
55,3493,0,54.00,60.00,43.00,0-9-0,0,9
