Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,2443,16.00,148.00,60.00,142.00,8-0-0,0,8
2,1717,14.00,152.00,100.00,166.00,7-1-0,0,8
3,4210,14.00,106.00,240.00,124.00,7-1-0,0,8
4,2439,12.00,152.00,130.00,221.00,6-2-0,0,8
5,599,12.00,148.00,90.00,265.00,6-2-0,0,8
6,696,12.00,142.00,130.00,197.00,6-2-0,0,8
7,973,12.00,140.00,80.00,224.00,6-2-0,0,8
8,4501,12.00,132.00,170.00,200.00,6-2-0,0,8
9,3309,12.00,120.00,120.00,95.00,6-2-0,0,8
10,687,12.00,120.00,100.00,146.00,6-2-0,0,8
11,207,12.00,102.00,120.00,89.00,6-2-0,0,8
12,597,12.00,100.00,60.00,204.00,6-2-0,0,8
13,294,12.00,74.00,180.00,58.00,6-2-0,0,8
14,3512,12.00,74.00,110.00,123.00,6-2-0,0,8
15,3027,12.00,62.00,80.00,90.00,6-2-0,0,8
16,3408,10.00,102.00,60.00,118.00,5-3-0,0,8
17,1644,10.00,84.00,90.00,93.00,5-3-0,0,8
18,980,10.00,82.00,70.00,106.00,5-3-0,0,8
19,1515,10.00,76.00,120.00,85.00,5-3-0,0,8
20,702,10.00,74.00,90.00,117.00,5-3-0,0,8
21,4578,10.00,72.00,50.00,151.00,5-3-0,0,8
22,3863,10.00,58.00,20.00,84.00,5-3-0,0,8
23,2576,10.00,46.00,170.00,97.00,5-3-0,0,8
24,995,9.00,86.00,90.00,82.00,4-2-1,1,8
25,4019,9.00,60.00,30.00,102.00,4-3-1,0,8
26,974,8.00,122.00,70.00,116.00,4-4-0,0,8
27,330,8.00,116.00,70.00,113.00,4-4-0,0,8
28,3993,8.00,100.00,100.00,86.00,4-4-0,0,8
29,4046,8.00,88.00,50.00,136.00,4-4-0,0,8
30,4201,8.00,84.00,110.00,76.00,4-4-0,0,8
31,4345,8.00,80.00,60.00,66.00,4-1-0,3,8
32,589,8.00,78.00,140.00,106.00,4-4-0,0,8
33,4,8.00,62.00,70.00,127.00,4-4-0,0,8
34,1452,8.00,58.00,80.00,81.00,4-4-0,0,8
35,1759,8.00,44.00,160.00,52.00,4-4-0,0,8
36,3120,8.00,40.00,60.00,93.00,4-4-0,0,8
37,3851,7.00,142.00,50.00,90.00,3-4-1,0,8
38,4144,7.00,106.00,80.00,127.00,3-4-1,0,8
39,981,6.00,140.00,40.00,116.00,3-5-0,0,8
40,1836,6.00,116.00,80.00,86.00,3-5-0,0,8
41,4079,6.00,110.00,20.00,146.00,3-5-0,0,8
42,4123,6.00,96.00,150.00,97.00,3-5-0,0,8
43,2659,6.00,86.00,30.00,57.00,3-5-0,0,8
44,3953,6.00,82.00,90.00,46.00,3-5-0,0,8
45,4574,6.00,70.00,40.00,117.00,3-4-0,1,8
46,1692,6.00,66.00,40.00,76.00,3-5-0,0,8
47,3328,6.00,62.00,90.00,46.00,3-5-0,0,8
48,1197,6.00,58.00,50.00,132.00,3-5-0,0,8
49,3752,6.00,54.00,90.00,107.00,3-2-0,3,8
50,2637,6.00,50.00,70.00,175.00,3-5-0,0,8
51,848,6.00,48.00,70.00,46.00,3-5-0,0,8
52,3759,6.00,38.00,60.00,76.00,3-5-0,0,8
53,4563,6.00,18.00,60.00,66.00,3-5-0,0,8
54,4276,5.00,78.00,60.00,105.00,2-5-1,0,8
55,2404,4.00,76.00,70.00,73.00,2-6-0,0,8
56,1438,4.00,54.00,120.00,103.00,2-6-0,0,8
57,1148,4.00,24.00,80.00,116.00,2-6-0,0,8
58,691,4.00,20.00,60.00,76.00,2-6-0,0,8
59,4029,4.00,18.00,90.00,89.00,2-6-0,0,8
60,1972,2.00,100.00,80.00,63.00,1-7-0,0,8
61,4141,2.00,70.00,30.00,100.00,1-7-0,0,8
62,3880,2.00,66.00,70.00,109.00,1-7-0,0,8
63,606,2.00,40.00,70.00,62.00,1-6-0,1,8
64,4078,2.00,36.00,50.00,85.00,1-7-0,0,8
65,1160,1.00,40.00,50.00,25.00,0-7-1,0,8
