Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,4638,29.0,302.0,140.0,134.0,580.0,9-3-0,12
2,4945,29.0,278.0,130.0,125.0,630.0,9-3-0,12
3,1111,28.0,238.0,130.0,132.0,605.0,8-4-0,12
4,1719,28.0,234.0,135.0,85.0,645.0,8-4-0,12
5,2537,27.0,262.0,145.0,95.0,630.0,8-4-0,12
6,2068,27.0,260.0,110.0,161.0,600.0,8-4-0,12
7,2988,27.0,236.0,130.0,134.0,580.0,8-3-1,12
8,5115,27.0,222.0,150.0,64.0,650.0,8-4-0,12
9,2849,26.0,248.0,130.0,177.0,535.0,9-3-0,12
10,5243,25.0,286.0,105.0,56.0,590.0,8-3-1,12
11,4464,23.0,288.0,130.0,65.0,615.0,8-4-0,12
12,5841,23.0,260.0,150.0,68.0,610.0,7-4-1,12
13,3650,23.0,244.0,130.0,73.0,625.0,6-5-1,12
14,5936,23.0,196.0,110.0,53.0,495.0,7-4-0,12
15,5338,23.0,194.0,150.0,64.0,605.0,7-5-0,12
16,888,21.0,218.0,120.0,87.0,585.0,6-6-0,12
17,3373,21.0,178.0,125.0,72.0,520.0,6-6-0,12
18,4456,20.0,250.0,115.0,51.0,595.0,6-6-0,12
19,3748,20.0,248.0,110.0,46.0,575.0,6-6-0,12
20,3283,19.0,216.0,145.0,53.0,530.0,6-5-1,12
21,2819,18.0,208.0,95.0,69.0,495.0,6-6-0,12
22,4472,18.0,172.0,145.0,76.0,540.0,5-7-0,12
23,4067,18.0,168.0,105.0,41.0,515.0,5-6-1,12
24,2377,18.0,138.0,115.0,66.0,495.0,6-6-0,12
25,3941,16.0,174.0,115.0,64.0,555.0,4-8-0,12
26,4099,15.0,184.0,90.0,62.0,475.0,4-8-0,12
27,1446,14.0,168.0,85.0,34.0,480.0,3-8-0,12
28,1895,13.0,196.0,110.0,81.0,520.0,4-8-0,12
29,5106,12.0,246.0,125.0,94.0,540.0,3-9-0,12
30,4541,12.0,214.0,85.0,91.0,545.0,3-9-0,12
31,4137,12.0,200.0,105.0,65.0,505.0,3-9-0,12
32,53,10.0,174.0,85.0,46.0,465.0,2-10-0,12
33,5945,8.0,218.0,115.0,61.0,485.0,2-10-0,12
34,6213,8.0,180.0,110.0,68.0,445.0,2-9-0,12
