Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,303,117.08,0,604,200,177,448,12
2,2852,106.75,0,608,80,211,394,12
3,195,102.75,0,488,160,215,406,12
4,340,95.83,24,508,120,172,338,12
5,263,87.25,0,436,80,155,394,12
6,287,86.0,8,320,280,192,256,12
7,5030,85.75,0,384,120,173,382,12
8,20,83.33,0,316,240,144,318,12
9,1493,83.16,10,360,200,154,280,12
10,3044,79.75,12,380,200,157,238,12
11,1665,78.58,0,304,200,153,304,12
12,2791,74.83,18,272,160,186,298,12
13,1923,73.33,0,268,160,184,292,12
14,3003,73.16,70,276,120,124,300,12
15,5254,72.16,4,276,120,140,356,12
16,5585,71.58,0,316,160,145,262,12
17,527,70.83,8,292,160,164,250,12
18,4930,70.58,20,284,120,187,260,12
19,229,69.08,32,216,200,157,242,12
20,639,65.83,24,296,80,184,230,12
21,1111,64.08,0,324,40,165,264,12
22,3624,62.58,0,224,160,155,230,12
23,145,62.16,0,236,120,144,276,12
24,533,60.5,10,188,160,146,264,12
25,4203,60.25,0,264,120,161,196,12
26,250,60.08,34,200,120,183,214,12
27,4266,59.83,0,168,200,118,256,12
28,870,59.25,0,260,80,133,256,12
29,5236,58.66,20,188,120,108,292,12
30,810,58.5,6,188,80,236,222,12
31,4508,55.0,0,232,40,144,244,12
32,333,52.0,0,192,80,98,266,12
33,5240,49.58,8,192,0,135,266,12
34,5149,44.75,20,168,0,143,236,12
35,1450,43.33,0,160,80,144,172,12
36,3687,41.5,8,232,0,92,208,12
