Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,870,10,1,0,11,20.00,37.45,76
2,522,9,2,0,11,18.00,33.82,82
3,527,9,2,0,11,18.00,29.64,54
4,358,8,3,0,11,16.00,40.73,86
5,1468,8,3,0,11,16.00,36.55,86
6,287,8,3,0,11,16.00,34.73,112
7,533,8,3,0,11,16.00,32.55,70
8,1546,8,3,0,11,16.00,32.18,56
9,2487,7,3,1,11,15.00,30.55,70
10,352,7,4,0,11,14.00,29.09,58
11,496,7,4,0,11,14.00,28.73,56
12,375,7,4,0,11,14.00,27.09,112
13,2010,7,4,0,11,14.00,24.18,58
14,102,6,4,1,11,13.00,35.09,70
15,2638,6,5,0,11,12.00,28.00,66
16,545,6,5,0,11,12.00,28.00,56
17,271,6,5,0,11,12.00,27.09,50
18,514,6,5,0,11,12.00,26.73,82
19,1688,6,5,0,11,12.00,25.27,52
20,2161,6,5,0,11,12.00,24.00,42
21,564,6,5,0,11,12.00,22.00,42
22,1203,5,5,1,11,11.00,27.27,86
23,1607,5,5,1,11,11.00,24.55,56
24,417,5,6,0,11,10.00,30.91,60
25,1803,5,6,0,11,10.00,26.73,58
26,28,5,6,0,11,10.00,26.55,70
27,270,5,6,0,11,10.00,24.36,52
28,2347,4,6,1,11,9.00,32.18,60
29,263,4,6,1,11,9.00,31.27,50
30,1358,4,6,1,11,9.00,26.36,52
31,2476,4,6,1,11,9.00,25.09,42
32,371,4,6,1,11,9.00,23.64,112
33,329,4,7,0,11,8.00,33.27,70
34,1594,4,7,0,11,8.00,25.64,58
35,1751,4,7,0,11,8.00,25.27,50
36,569,4,7,0,11,8.00,24.36,56
37,570,4,7,0,11,8.00,24.18,48
38,871,4,7,0,11,8.00,20.55,50
39,1537,3,7,1,11,7.00,26.91,56
40,1606,3,7,1,11,7.00,24.00,42
41,810,3,8,0,11,6.00,28.18,48
42,1554,3,8,0,11,6.00,26.73,56
43,2027,3,8,0,11,6.00,22.18,46
44,353,3,8,0,11,6.00,20.18,46
45,884,2,8,1,11,5.00,22.91,50
46,1808,2,9,0,11,4.00,20.18,46
