Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1983,121.0,0,568,120,332,456,12
2,3663,102.41,4,496,80,261,388,12
3,4911,93.66,8,384,160,288,290,12
4,2605,92.75,24,356,120,267,346,12
5,1318,85.91,60,376,40,237,336,12
6,2907,76.41,0,252,200,225,246,12
7,4180,74.33,4,288,160,202,244,12
8,2930,73.91,4,380,40,199,288,12
9,4205,72.83,4,304,120,200,270,12
10,3826,70.75,24,320,80,153,302,12
11,2976,70.41,0,384,0,181,310,12
12,4918,69.83,0,300,80,176,294,12
13,2046,65.33,20,328,0,194,260,12
14,2811,63.33,4,268,80,168,248,12
15,2928,63.08,0,232,120,153,264,12
16,2903,63.08,20,260,80,207,190,12
17,5748,61.25,0,248,40,211,248,12
18,4060,60.66,0,260,80,196,198,12
19,3218,60.33,28,220,120,166,210,12
20,3968,59.16,0,232,120,150,214,12
21,4980,57.83,32,168,160,166,168,12
22,2980,56.33,0,192,120,202,162,12
23,4173,56.08,0,204,40,199,232,12
24,4683,53.0,0,172,120,180,188,12
25,2660,51.5,0,164,80,182,210,12
26,1258,49.58,0,208,40,171,176,12
27,4542,47.91,16,200,80,113,198,12
28,3070,47.25,12,192,40,167,156,12
29,3575,47.08,0,160,80,181,150,12
30,4654,42.66,0,176,40,126,180,12
