Rank,Team,RP,ParkClimb,Auto,Ownership,Vault,WinLossTie,DQ,Played
1,1678,3.9,875,466,2804,275,10-0-0,0,10
2,3310,2.9,785,401,2334,235,7-3-0,0,10
3,254,2.9,735,461,2474,215,6-4-0,0,10
4,4911,2.8,765,411,2398,295,7-3-0,0,10
5,2046,2.8,710,396,2610,275,8-2-0,0,10
6,3512,2.7,815,425,2122,260,5-5-0,0,10
7,1323,2.7,605,450,2315,190,8-2-0,0,10
8,2471,2.7,555,469,2388,240,8-2-0,0,10
9,971,2.6,720,455,2178,245,6-4-0,0,10
10,973,2.5,785,405,2041,225,5-5-0,0,10
11,5803,2.4,715,412,2062,230,5-5-0,0,10
12,2910,2.4,640,430,2343,255,6-4-0,0,10
13,3478,2.3,745,386,1778,255,4-6-0,0,10
14,1983,2.3,700,397,2263,275,5-5-0,0,10
15,1072,2.3,680,412,2176,200,5-5-0,0,10
16,846,2.3,670,425,1956,275,5-5-0,0,10
17,3309,2.3,625,372,2440,230,6-4-0,0,10
18,8,2.3,585,405,2085,255,6-4-0,0,10
19,4488,2.2,705,428,2131,250,5-5-0,0,10
20,2557,2.2,655,391,1898,205,4-6-0,0,10
21,687,2.2,630,453,2186,225,5-5-0,0,10
22,2990,2.1,670,410,2088,275,3-7-0,0,10
23,968,2.1,650,397,2102,245,4-6-0,0,10
24,842,2.1,570,395,2282,325,6-4-0,0,10
25,4388,2.1,510,404,2114,205,5-5-0,0,10
26,3476,2,630,367,2287,215,5-5-0,0,10
27,3250,2,590,407,2332,285,6-4-0,0,10
28,3538,2,575,368,2291,205,5-5-0,0,10
29,696,2,540,368,2052,235,5-5-0,0,10
30,5924,1.9,590,370,1887,215,4-6-0,0,10
31,5012,1.9,570,394,2165,225,3-7-0,0,10
32,5499,1.9,550,310,1896,230,5-5-0,0,10
33,5818,1.9,515,405,1926,145,4-6-0,0,10
34,649,1.9,485,419,2170,245,5-5-0,0,10
35,3647,1.7,700,346,1899,205,3-7-0,0,10
36,2659,1.7,580,396,2077,210,4-6-0,0,10
37,604,1.5,655,340,2019,285,3-7-0,0,10
38,1538,1.5,590,359,1813,240,3-7-0,0,10
39,4183,1.4,600,379,1707,205,2-8-0,0,10
40,4159,1.4,530,358,1924,250,3-7-0,0,10
41,115,1.4,490,361,1788,240,3-7-0,0,10
42,5026,1.3,410,322,1686,195,3-7-0,0,10
