Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,4469,35.0,250.0,135.0,288.0,660.0,11-1-0,12
2,2046,32.0,346.0,150.0,228.0,645.0,9-3-0,12
3,3574,31.0,292.0,145.0,184.0,680.0,10-2-0,12
4,1425,31.0,260.0,245.0,192.0,625.0,8-4-0,12
5,4131,29.0,210.0,150.0,102.0,620.0,9-3-0,12
6,948,28.0,266.0,140.0,157.0,595.0,8-4-0,12
7,360,28.0,234.0,130.0,242.0,595.0,8-4-0,12
8,3219,28.0,206.0,150.0,174.0,555.0,9-3-0,12
9,3787,27.0,298.0,145.0,152.0,620.0,7-5-0,12
10,3684,26.0,250.0,130.0,189.0,600.0,8-4-0,12
11,2412,25.0,284.0,120.0,167.0,625.0,7-5-0,12
12,3393,24.0,266.0,160.0,147.0,625.0,6-6-0,12
13,2942,24.0,234.0,165.0,77.0,610.0,7-5-0,12
14,4461,24.0,224.0,150.0,135.0,560.0,8-4-0,12
15,3588,23.0,240.0,165.0,225.0,580.0,7-5-0,12
16,5939,22.0,248.0,140.0,81.0,595.0,6-6-0,12
17,3218,22.0,244.0,130.0,97.0,580.0,6-6-0,12
18,3786,21.0,270.0,150.0,65.0,620.0,5-7-0,12
19,4060,21.0,260.0,130.0,105.0,615.0,6-6-0,12
20,2910,21.0,242.0,165.0,107.0,575.0,6-6-0,12
21,2555,20.0,246.0,115.0,116.0,600.0,5-7-0,12
22,5937,20.0,238.0,110.0,85.0,600.0,5-7-0,12
23,2980,19.0,224.0,150.0,121.0,615.0,5-7-0,12
24,3781,19.0,216.0,130.0,70.0,535.0,6-5-0,12
25,2906,18.0,274.0,125.0,77.0,580.0,5-7-0,12
26,2929,18.0,270.0,145.0,96.0,615.0,4-8-0,12
27,4681,16.0,226.0,100.0,131.0,510.0,5-7-0,12
28,3049,16.0,214.0,120.0,89.0,560.0,5-7-0,12
29,2927,16.0,204.0,135.0,81.0,510.0,5-7-0,12
30,3221,16.0,190.0,180.0,99.0,535.0,5-7-0,12
31,5941,15.0,246.0,135.0,95.0,560.0,4-8-0,12
32,5683,14.0,290.0,115.0,71.0,600.0,3-9-0,12
33,4579,14.0,160.0,115.0,96.0,520.0,4-8-0,12
34,3237,10.0,202.0,60.0,76.0,515.0,2-10-0,12
35,5748,8.0,134.0,120.0,89.0,475.0,2-10-0,12
36,5295,6.0,168.0,95.0,46.0,510.0,0-12-0,12
