Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,359,22.00,294.00,200.00,566.00,11-1-0,0,12
2,868,20.00,278.00,180.00,657.00,10-2-0,0,12
3,234,20.00,274.00,180.00,237.00,10-2-0,0,12
4,1741,18.00,326.00,170.00,399.00,9-3-0,0,12
5,829,18.00,264.00,190.00,331.00,9-3-0,0,12
6,2040,17.00,216.00,140.00,269.00,8-3-1,0,12
7,1024,17.00,162.00,130.00,319.00,8-3-1,0,12
8,1732,16.00,234.00,210.00,480.00,8-4-0,0,12
9,3301,15.00,266.00,110.00,336.00,7-4-1,0,12
10,1736,14.00,280.00,120.00,404.00,7-5-0,0,12
11,3947,14.00,248.00,200.00,474.00,7-5-0,0,12
12,1646,14.00,218.00,140.00,331.00,7-5-0,0,12
13,3201,14.00,174.00,190.00,214.00,7-5-0,0,12
14,4791,14.00,152.00,150.00,230.00,7-5-0,0,12
15,461,14.00,138.00,190.00,160.00,7-5-0,0,12
16,3565,14.00,112.00,100.00,234.00,7-5-0,0,12
17,4545,14.00,92.00,170.00,196.00,7-5-0,0,12
18,4485,12.00,168.00,140.00,187.00,6-6-0,0,12
19,3147,12.00,162.00,250.00,221.00,6-6-0,0,12
20,4070,12.00,134.00,150.00,173.00,6-6-0,0,12
21,2867,12.00,114.00,150.00,135.00,6-6-0,0,12
22,3487,12.00,94.00,380.00,102.00,6-6-0,0,12
23,1756,11.00,200.00,170.00,335.00,5-6-1,0,12
24,1501,10.00,210.00,100.00,343.00,5-7-0,0,12
25,135,10.00,146.00,160.00,253.00,5-7-0,0,12
26,3176,10.00,134.00,240.00,246.00,5-7-0,0,12
27,3865,10.00,126.00,130.00,243.00,5-7-0,0,12
28,4580,10.00,120.00,110.00,196.00,5-7-0,0,12
29,1872,10.00,102.00,120.00,181.00,5-6-0,1,12
30,4211,10.00,78.00,100.00,173.00,5-7-0,0,12
31,3272,8.00,146.00,90.00,249.00,4-8-0,0,12
32,4272,8.00,146.00,80.00,191.00,4-8-0,0,12
33,1747,8.00,134.00,110.00,157.00,4-8-0,0,12
34,45,8.00,108.00,100.00,253.00,4-8-0,0,12
35,4846,7.00,126.00,90.00,240.00,3-8-1,0,12
36,2197,6.00,152.00,100.00,242.00,3-9-0,0,12
37,4234,6.00,112.00,100.00,195.00,3-9-0,0,12
38,3180,5.00,96.00,110.00,135.00,2-9-1,0,12
39,292,4.00,146.00,150.00,176.00,2-10-0,0,12
40,2171,4.00,124.00,130.00,232.00,2-10-0,0,12
