Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,2052,15,140,65,90,275,5-0-0,0,5
2,2175,15,132,65,94,280,5-0-0,0,5
3,3184,14,110,40,76,255,5-0-0,0,5
4,2846,13,90,55,44,255,4-1-0,0,5
5,4215,12,130,45,75,255,4-1-0,0,5
6,3042,12,124,55,46,255,4-1-0,0,5
7,3244,12,102,55,64,245,4-1-0,0,5
8,1816,11,102,60,61,250,3-2-0,0,5
9,2491,11,96,65,73,230,4-1-0,0,5
10,3082,10,124,45,14,250,3-2-0,0,5
11,4536,10,122,80,46,250,3-2-0,0,5
12,2606,9,122,60,49,250,3-2-0,0,5
13,2957,9,114,40,43,215,3-2-0,0,5
14,4624,9,110,45,26,240,3-2-0,0,5
15,2823,9,96,45,35,215,3-2-0,0,5
16,4511,9,90,50,35,230,3-2-0,0,5
17,2574,8,135,45,63,265,3-2-0,0,5
18,3130,7,157,35,82,250,2-3-0,0,5
19,2502,7,142,45,67,255,2-3-0,0,5
20,2987,7,102,30,70,225,3-2-0,0,5
21,2472,7,84,50,30,235,2-3-0,0,5
22,3883,7,84,40,59,225,2-3-0,0,5
23,2847,7,76,50,38,210,2-3-0,0,5
24,4859,6,108,25,45,230,2-3-0,0,5
25,2500,6,90,65,12,210,2-3-0,0,5
26,4607,5,108,55,17,235,1-4-0,0,5
27,2855,5,96,65,26,215,2-3-0,0,5
28,2498,4,92,50,37,225,1-4-0,0,5
29,2177,4,90,30,20,205,2-3-0,0,5
30,3926,4,74,65,18,210,1-4-0,0,5
31,2531,2,104,35,15,205,1-4-0,0,5
32,4549,2,90,30,7,180,1-4-0,0,5
33,3081,1,102,35,14,185,0-5-0,0,5
34,3407,,101,20,46,180,0-5-0,0,5
35,2129,,70,30,16,165,0-5-0,0,5
