Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,987,22.00,380.00,510.00,290.00,496.00,11-0-0,0,11
2,3476,22.00,250.00,515.00,330.00,421.00,11-0-0,0,11
3,2485,20.00,310.00,420.00,170.00,763.00,10-1-0,0,11
4,1266,20.00,260.00,380.00,190.00,378.00,10-1-0,0,11
5,3009,20.00,220.00,406.00,320.00,334.00,10-1-0,0,11
6,330,18.00,240.00,345.00,230.00,281.00,9-2-0,0,11
7,812,18.00,180.00,350.00,190.00,655.00,9-2-0,0,11
8,604,16.00,340.00,286.00,180.00,299.00,8-3-0,0,11
9,1538,16.00,230.00,415.00,250.00,544.00,8-3-0,0,11
10,3491,16.00,80.00,262.00,120.00,424.00,8-3-0,0,11
11,3128,14.00,140.00,366.00,120.00,450.00,7-4-0,0,11
12,5025,14.00,140.00,342.00,50.00,449.00,7-4-0,0,11
13,2543,14.00,140.00,292.00,160.00,420.00,7-4-0,0,11
14,3881,14.00,130.00,296.00,190.00,167.00,7-4-0,0,11
15,4486,14.00,110.00,415.00,180.00,195.00,7-4-0,0,11
16,2193,14.00,90.00,257.00,70.00,235.00,7-4-0,0,11
17,5199,14.00,90.00,175.00,70.00,396.00,7-4-0,0,11
18,3967,14.00,50.00,240.00,120.00,302.00,7-4-0,0,11
19,3021,14.00,50.00,240.00,110.00,258.00,7-4-0,0,11
20,568,12.00,90.00,345.00,130.00,340.00,6-5-0,0,11
21,4139,12.00,90.00,265.00,100.00,450.00,6-5-0,0,11
22,2339,12.00,90.00,245.00,120.00,376.00,6-5-0,0,11
23,5137,12.00,70.00,235.00,190.00,250.00,6-5-0,0,11
24,2658,12.00,40.00,267.00,150.00,418.00,6-5-0,0,11
25,589,10.00,190.00,281.00,170.00,342.00,5-6-0,0,11
26,3255,10.00,160.00,286.00,130.00,350.00,5-6-0,0,11
27,3965,10.00,140.00,335.00,100.00,167.00,5-6-0,0,11
28,4014,10.00,130.00,193.00,120.00,265.00,5-6-0,0,11
29,4984,10.00,100.00,266.00,90.00,263.00,5-6-0,0,11
30,3704,10.00,100.00,260.00,100.00,329.00,5-6-0,0,11
31,2839,10.00,100.00,216.00,110.00,188.00,5-6-0,0,11
32,4792,10.00,70.00,271.00,120.00,183.00,5-6-0,0,11
33,1572,10.00,70.00,211.00,150.00,222.00,5-6-0,0,11
34,3041,10.00,60.00,245.00,110.00,190.00,5-6-0,0,11
35,4078,10.00,60.00,241.00,100.00,177.00,5-6-0,0,11
36,3647,10.00,50.00,260.00,50.00,246.00,5-6-0,0,11
37,2102,10.00,50.00,216.00,100.00,232.00,5-6-0,0,11
38,4616,10.00,30.00,286.00,110.00,209.00,5-6-0,0,11
39,2029,10.00,30.00,207.00,60.00,238.00,5-6-0,0,11
40,1972,8.00,100.00,241.00,70.00,158.00,4-7-0,0,11
41,4583,8.00,100.00,241.00,70.00,131.00,4-7-0,0,11
42,1622,8.00,80.00,186.00,60.00,251.00,4-7-0,0,11
43,4574,8.00,70.00,295.00,50.00,175.00,4-7-0,0,11
44,2984,8.00,50.00,271.00,140.00,254.00,4-7-0,0,11
45,5209,8.00,50.00,241.00,60.00,270.00,4-7-0,0,11
46,3328,8.00,40.00,242.00,130.00,386.00,4-7-0,0,11
47,4919,8.00,30.00,295.00,130.00,146.00,4-7-0,0,11
48,4738,8.00,30.00,290.00,100.00,237.00,4-7-0,0,11
49,3250,6.00,130.00,280.00,100.00,80.00,3-8-0,0,11
50,1482,6.00,120.00,247.00,80.00,238.00,3-8-0,0,11
51,3849,6.00,50.00,211.00,80.00,152.00,3-6-0,2,11
52,5285,6.00,30.00,150.00,70.00,127.00,3-8-0,0,11
53,4019,6.00,20.00,250.00,90.00,165.00,3-8-0,0,11
54,3952,6.00,10.00,300.00,140.00,197.00,3-8-0,0,11
55,3315,6.00,10.00,140.00,80.00,151.00,3-8-0,0,11
56,3011,4.00,120.00,263.00,90.00,77.00,2-9-0,0,11
57,3749,4.00,100.00,306.00,80.00,141.00,2-9-0,0,11
58,3341,4.00,20.00,221.00,50.00,226.00,2-9-0,0,11
59,4160,4.00,20.00,205.00,100.00,210.00,2-8-0,1,11
60,2827,2.00,50.00,201.00,60.00,75.00,1-9-0,1,11
