Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,3688,1.75,3085.0,712.0,1580.0,1250.0,5.0,10-2-0,12
2,3537,1.5800000000000001,3213.0,548.0,1520.0,1450.0,13.0,9-3-0,12
3,4391,1.5800000000000001,3007.0,778.0,1600.0,1200.0,7.0,9-3-0,12
4,3618,1.5800000000000001,2961.0,780.0,1520.0,1200.0,6.0,9-3-0,12
5,6097,1.4099999999999999,3056.0,478.0,1500.0,1350.0,11.0,8-3-1,12
6,5525,1.3300000000000001,2772.0,466.0,1380.0,1200.0,2.0,8-4-0,12
7,6074,1.3300000000000001,2648.0,362.0,1180.0,1150.0,8.0,8-4-0,12
8,5230,1.25,2880.0,527.0,1560.0,1150.0,5.0,6-6-0,12
9,4376,1.25,2852.0,596.0,1420.0,1200.0,2.0,7-4-1,12
10,1711,1.1599999999999999,3143.0,721.0,1460.0,1450.0,13.0,7-5-0,12
11,5110,1.1599999999999999,2972.0,837.0,1620.0,1150.0,7.0,7-5-0,12
12,6087,1.1599999999999999,2956.0,608.0,1500.0,1200.0,16.0,7-5-0,12
13,5560,1.1599999999999999,2886.0,420.0,1480.0,1150.0,6.0,7-5-0,12
14,5086,1.1599999999999999,2866.0,616.0,1460.0,1200.0,26.0,7-5-0,12
15,4715,1.1599999999999999,2712.0,540.0,1280.0,1200.0,2.0,7-5-0,12
16,6122,1.1599999999999999,2669.0,355.0,1460.0,1000.0,14.0,7-5-0,12
17,6561,1.0800000000000001,2973.0,584.0,1460.0,1300.0,8.0,6-5-1,12
18,6075,1.0800000000000001,2915.0,734.0,1620.0,1050.0,15.0,6-6-0,12
19,5505,1.0800000000000001,2856.0,592.0,1500.0,1150.0,16.0,6-5-1,12
20,5314,1.0800000000000001,2618.0,604.0,1300.0,1100.0,8.0,6-5-1,12
21,6552,1.0,2991.0,535.0,1440.0,1300.0,6.0,6-6-0,12
22,4377,1.0,2876.0,562.0,1400.0,1200.0,51.0,6-6-0,12
23,4398,1.0,2865.0,530.0,1440.0,1200.0,5.0,5-5-2,12
24,6121,1.0,2722.0,605.0,1380.0,1150.0,12.0,6-6-0,12
25,6098,0.91000000000000003,2794.0,600.0,1420.0,1150.0,9.0,5-6-1,12
26,3767,0.91000000000000003,2792.0,539.0,1400.0,1100.0,12.0,5-6-1,12
27,2246,0.91000000000000003,2322.0,545.0,1400.0,700.0,7.0,5-6-1,12
28,5504,0.82999999999999996,2668.0,536.0,1240.0,1150.0,3.0,5-7-0,12
29,6533,0.75,2482.0,535.0,1240.0,1050.0,2.0,4-7-1,12
30,4983,0.66000000000000003,2690.0,715.0,1460.0,1050.0,5.0,4-8-0,12
31,3603,0.66000000000000003,2542.0,721.0,1380.0,950.0,2.0,4-8-0,12
32,1896,0.66000000000000003,2349.0,542.0,1360.0,800.0,9.0,4-8-0,12
33,5424,0.66000000000000003,2290.0,345.0,1140.0,950.0,10.0,4-8-0,12
34,6599,0.66000000000000003,2155.0,599.0,1220.0,700.0,10.0,4-8-0,12
35,5534,0.57999999999999996,2764.0,526.0,1560.0,950.0,4.0,3-9-0,12
36,703,0.57999999999999996,2734.0,723.0,1500.0,1050.0,4.0,3-8-1,12
37,6600,0.5,2485.0,417.0,1200.0,1050.0,5.0,3-9-0,12
38,6005,0.5,2276.0,421.0,1200.0,800.0,16.0,3-9-0,12
39,5562,0.33000000000000002,2221.0,406.0,1240.0,800.0,1.0,2-10-0,12
