Rank,Team,QS,Assist,Auto,T&C,G&F,Record (W-L-T),DQ,Played
1,1678,17,890,570,290,235,8-1-1,0,10
2,846,16,780,570,190,292,8-2-0,0,10
3,971,16,580,600,250,385,8-2-0,0,10
4,4543,15,370,481,120,149,7-2-1,0,10
5,254,14,840,525,160,443,7-3-0,0,10
6,2073,14,680,425,200,276,7-3-0,0,10
7,148,14,610,506,240,451,7-3-0,0,10
8,696,14,530,440,210,318,7-3-0,0,10
9,5136,13,510,306,140,330,6-3-1,0,10
10,3309,12,650,395,150,337,6-4-0,0,10
11,3476,12,550,425,200,332,6-4-0,0,10
12,2085,12,540,440,190,275,6-4-0,0,10
13,2485,12,530,525,170,374,6-4-0,0,10
14,114,12,470,510,170,272,6-4-0,0,10
15,1323,12,400,440,210,297,6-4-0,0,10
16,2813,10,520,395,90,207,5-5-0,0,10
17,2928,10,480,451,180,210,5-5-0,0,10
18,1671,10,460,426,250,281,5-5-0,0,10
19,3482,9,360,381,40,236,4-5-1,0,10
20,1983,8,610,405,270,223,4-6-0,0,10
21,2135,8,570,530,120,215,4-6-0,0,10
22,399,8,490,496,190,229,4-6-0,0,10
23,1318,8,410,445,190,361,4-6-0,0,10
24,1868,8,370,315,150,253,4-6-0,0,10
25,687,8,230,365,160,253,4-6-0,0,10
26,973,7,440,255,120,236,3-6-1,0,10
27,4201,6,440,410,100,299,3-7-0,0,10
28,604,6,400,376,170,137,3-7-0,0,10
29,841,6,330,381,130,239,3-7-0,0,10
30,4159,6,250,368,190,232,3-7-0,0,10
31,5012,6,220,325,120,356,3-7-0,0,10
32,766,4,400,355,180,292,2-8-0,0,10
33,192,4,350,405,120,160,2-8-0,0,10
34,8,3,200,340,160,214,1-8-1,0,10
