Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,395,8,0,0,8,16.00,4.25
2,335,6,0,2,8,14.00,6.25
3,3419,6,1,1,8,13.00,12.50
4,1989,6,1,1,8,13.00,12.12
5,359,6,2,0,8,12.00,16.50
6,1626,6,2,0,8,12.00,10.50
7,1279,6,2,0,8,12.00,8.00
8,870,5,1,1,7,11.00,5.37
9,2344,5,2,1,8,11.00,3.87
10,369,4,2,2,8,10.00,13.25
11,2601,5,2,0,7,10.00,6.37
12,263,4,2,2,8,10.00,2.87
13,272,4,3,1,8,9.00,11.87
14,3742,4,3,1,8,9.00,9.87
15,1230,4,3,1,8,9.00,7.75
16,3059,4,3,1,8,9.00,5.50
17,1340,4,2,1,7,9.00,5.37
18,1862,3,2,3,8,9.00,5.25
19,1635,4,2,1,7,9.00,3.50
20,810,3,1,3,7,9.00,2.37
21,1796,4,3,1,8,9.00,2.00
22,2070,4,4,0,8,8.00,9.25
23,1155,3,2,2,7,8.00,8.50
24,333,4,3,0,7,8.00,8.37
25,2809,3,3,2,8,8.00,8.12
26,3017,3,3,2,8,8.00,6.62
27,354,4,4,0,8,8.00,5.62
28,2933,3,3,2,8,8.00,5.12
29,3340,4,4,0,8,8.00,4.37
30,752,4,2,0,6,8.00,1.75
31,555,3,4,1,8,7.00,13.25
32,2285,2,3,3,8,7.00,6.50
33,806,3,4,1,8,7.00,5.37
34,2265,3,4,1,8,7.00,4.75
35,2524,3,4,1,8,7.00,3.12
36,743,3,3,1,7,7.00,2.75
37,421,3,4,1,8,7.00,2.75
38,3204,3,2,1,6,7.00,2.62
39,3670,3,3,1,7,7.00,2.37
40,2554,3,3,1,7,7.00,2.12
41,1237,2,3,3,8,7.00,1.25
42,41,3,3,0,6,6.00,13.25
43,375,3,5,0,8,6.00,9.12
44,3760,2,4,2,8,6.00,8.87
45,1396,3,5,0,8,6.00,8.62
46,3111,3,5,0,8,6.00,7.50
47,694,2,4,2,8,6.00,7.37
48,3004,3,5,0,8,6.00,6.75
49,1660,2,4,2,8,6.00,6.62
50,1600,3,5,0,8,6.00,5.75
51,1880,3,5,0,8,6.00,4.62
52,2205,2,4,2,8,6.00,4.00
53,640,3,5,0,8,6.00,2.87
54,334,2,3,2,7,6.00,2.50
55,2579,1,2,4,7,6.00,2.00
56,1257,2,3,2,7,6.00,0.37
57,1156,2,4,1,7,5.00,1.75
58,527,2,6,0,8,4.00,10.62
59,2895,0,4,4,8,4.00,5.75
60,3053,1,5,2,8,4.00,5.37
61,759,1,5,2,8,4.00,3.87
62,3308,2,5,0,7,4.00,1.00
63,3645,1,5,1,7,3.00,4.75
64,1811,1,4,1,6,3.00,3.50
65,271,0,5,2,7,2.00,4.62
66,3142,0,5,2,7,2.00,4.12
