Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1718,8,1,0,9,16.00,22.00,164
2,85,7,2,0,9,14.00,23.56,92
3,2188,7,2,0,9,14.00,19.78,256
4,141,6,1,2,9,14.00,18.67,53
5,703,7,2,0,9,14.00,9.67,61
6,1504,6,2,1,9,13.00,15.11,61
7,68,6,3,0,9,12.00,34.78,93
8,27,6,3,0,9,12.00,28.56,85
9,2246,6,3,0,9,12.00,26.78,128
10,383,6,3,0,9,12.00,21.11,128
11,107,6,3,0,9,12.00,20.56,89
12,33,6,3,0,9,12.00,16.11,258
13,518,6,3,0,9,12.00,9.33,36
14,1447,5,3,1,9,11.00,18.89,258
15,1018,5,3,1,9,11.00,16.56,92
16,226,5,3,1,9,11.00,16.44,256
17,71,5,3,1,9,11.00,14.78,158
18,515,5,4,0,9,10.00,37.00,93
19,469,5,4,0,9,10.00,36.44,177
20,397,5,4,0,9,10.00,28.67,128
21,494,5,4,0,9,10.00,25.89,158
22,910,5,4,0,9,10.00,23.44,100
23,2054,5,4,0,9,10.00,23.22,80
24,903,5,4,0,9,10.00,21.33,68
25,47,5,4,0,9,10.00,20.11,61
26,302,5,4,0,9,10.00,18.67,128
27,93,5,4,0,9,10.00,18.56,100
28,67,5,4,0,9,10.00,15.56,38
29,1481,5,4,0,9,10.00,14.67,100
30,2015,5,4,0,9,10.00,10.89,62
31,326,4,4,1,9,9.00,19.67,258
32,1783,4,5,0,9,8.00,32.78,93
33,2197,4,5,0,9,8.00,27.11,89
34,2075,4,5,0,9,8.00,26.78,128
35,111,4,5,0,9,8.00,23.78,132
36,904,4,5,0,9,8.00,22.67,256
37,1506,4,5,0,9,8.00,22.56,76
38,818,4,5,0,9,8.00,15.78,72
39,1940,4,5,0,9,8.00,14.67,38
40,1256,4,5,0,9,8.00,13.33,104
41,322,4,5,0,9,8.00,12.67,47
42,2245,4,5,0,9,8.00,12.00,132
43,858,3,5,1,9,7.00,18.67,64
44,2145,2,5,2,9,6.00,19.44,64
45,70,3,6,0,9,6.00,18.00,177
46,1327,3,6,0,9,6.00,17.78,74
47,201,3,6,0,9,6.00,14.00,32
48,1918,2,7,0,9,4.00,19.89,44
49,1189,1,7,1,9,3.00,9.44,34
50,74,1,8,0,9,2.00,30.33,164
51,453,1,8,0,9,2.00,20.56,74
52,245,1,8,0,9,2.00,19.78,42
53,1677,1,8,0,9,2.00,17.89,177
54,288,0,9,0,9,0.00,10.00,20
