Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,217,10,1,1,12,21,60.41
2,33,10,2,0,12,20,75.33
3,2137,10,2,0,12,20,74.33
4,27,10,2,0,12,20,64.33
5,2337,10,2,0,12,20,63.16
6,494,10,2,0,12,20,59.83
7,1918,9,3,0,12,18,75.41
8,469,9,3,0,12,18,71.83
9,67,9,2,0,11,18,69
10,573,8,4,0,12,16,68.41
11,74,8,4,0,12,16,67.08
12,3098,8,4,0,12,16,65.83
13,70,8,4,0,12,16,64.08
14,245,8,4,0,12,16,63.33
15,2054,8,4,0,12,16,62.25
16,2612,8,4,0,12,16,59.58
17,910,8,4,0,12,16,55.83
18,3536,7,4,1,12,15,46.41
19,1718,7,5,0,12,14,67.83
20,302,7,5,0,12,14,66.66
21,1,7,5,0,12,14,65.75
22,2767,7,5,0,12,14,61.58
23,280,7,5,0,12,14,56.08
24,2832,7,4,0,11,14,54.16
25,3539,6,6,0,12,12,76.33
26,1250,6,6,0,12,12,71.91
27,548,6,6,0,12,12,71.41
28,201,6,6,0,12,12,63.91
29,2145,6,6,0,12,12,61.08
30,326,6,5,0,11,12,60.91
31,226,6,6,0,12,12,60.08
32,3234,6,4,0,10,12,48.75
33,1023,5,6,1,12,11,73.66
34,1528,5,7,0,12,10,69.5
35,68,5,7,0,12,10,69.33
36,2619,5,7,0,12,10,68.16
37,3547,5,7,0,12,10,65.33
38,308,5,7,0,12,10,64
39,2834,5,7,0,12,10,59.16
40,3535,5,7,0,12,10,54.08
41,1243,5,6,0,11,10,52.83
42,2000,5,5,0,10,10,51.5
43,2604,5,7,0,12,10,46.75
44,2246,4,7,1,12,9,57.33
45,51,4,8,0,12,8,59.33
46,2959,4,8,0,12,8,55.91
47,2474,4,8,0,12,8,55.08
48,141,4,8,0,12,8,55.08
49,1504,4,8,0,12,8,52.5
50,1596,4,8,0,12,8,52.16
51,247,4,8,0,12,8,48.66
52,3548,4,6,0,10,8,46.58
53,830,4,6,0,10,8,44.66
54,2586,4,6,0,10,8,35.25
55,85,3,8,1,12,7,67.08
56,818,3,8,1,12,7,49.41
57,1684,3,9,0,12,6,67.25
58,66,3,9,0,12,6,60.83
59,3542,3,9,0,12,6,56.83
60,503,3,9,0,12,6,54.91
61,3620,3,8,0,11,6,48.25
62,3688,2,10,0,12,4,58.58
63,1941,2,10,0,12,4,52.83
64,1322,2,10,0,12,4,52.5
