Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,225,14,124,60,133,245,5-0-0,0,5
2,1719,13,132,35,36,265,5-0-0,0,5
3,1629,12,132,60,95,245,4-1-0,0,5
4,339,12,114,75,108,215,4-1-0,0,5
5,2199,12,114,50,38,240,5-0-0,0,5
6,533,10,132,95,51,250,4-1-0,0,5
7,2534,9,116,45,27,235,3-2-0,0,5
8,5115,9,114,50,33,255,4-1-0,0,5
9,4505,9,114,40,50,240,3-2-0,0,5
10,2819,9,90,70,43,230,3-2-0,0,5
11,2914,8,130,45,49,260,3-2-0,0,5
12,2964,8,98,30,17,220,3-2-0,0,5
13,6236,8,66,40,46,190,3-2-0,0,5
14,2912,7,112,45,48,225,3-2-0,0,5
15,3389,7,108,35,24,220,3-2-0,0,5
16,2849,7,102,40,41,240,2-3-0,0,5
17,686,7,78,40,29,200,2-3-0,0,5
18,4514,6,114,35,34,225,2-3-0,0,5
19,888,6,110,45,40,240,2-3-0,0,5
20,1915,6,108,25,32,215,2-3-0,0,5
21,4949,5,124,50,24,235,1-4-0,0,5
22,1389,5,92,30,36,210,2-3-0,0,5
23,5945,5,74,35,36,200,2-3-0,0,5
24,2537,4,134,45,31,260,1-4-0,0,5
25,4067,4,134,30,26,245,1-4-0,0,5
26,4638,4,126,30,28,235,1-4-0,0,5
27,2377,4,114,40,38,230,1-4-0,0,5
28,2528,4,108,45,15,245,1-4-0,0,5
29,3941,4,98,35,22,230,1-4-0,0,5
30,5841,3,106,30,19,230,1-4-0,0,5
31,1885,3,100,35,42,220,1-4-0,0,5
