Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1918,24.00,78.00,20.00,157.00,6,9-3-0,0,12
2,123,24.00,68.00,60.00,94.00,2,11-1-0,0,12
3,85,23.00,108.00,10.00,143.00,2,10-0-1,1,12
4,247,21.00,48.00,50.00,93.00,0,10-1-1,0,12
5,2767,20.00,58.00,30.00,95.00,2,9-3-0,0,12
6,4377,20.00,54.00,30.00,63.00,2,9-3-0,0,12
7,3618,17.00,110.00,40.00,33.00,0,8-3-1,0,12
8,3546,16.00,63.00,70.00,74.00,0,8-3-0,1,12
9,904,16.00,57.00,20.00,84.00,2,7-5-0,0,12
10,3656,16.00,55.00,30.00,85.00,2,6-4-2,0,12
11,4362,16.00,29.00,50.00,98.00,2,7-5-0,0,12
12,4409,15.00,67.00,30.00,43.00,2,6-5-1,0,12
13,2000,14.00,65.00,30.00,81.00,2,6-6-0,0,12
14,4327,14.00,57.00,40.00,70.00,2,6-6-0,0,12
15,2246,14.00,55.00,50.00,95.00,2,6-6-0,0,12
16,1677,13.00,55.00,10.00,81.00,0,6-5-1,0,12
17,1254,13.00,41.00,20.00,53.00,0,6-5-1,0,12
18,4375,12.00,63.00,50.00,42.00,0,6-6-0,0,12
19,3452,12.00,56.00,20.00,82.00,0,6-6-0,0,12
20,4398,12.00,53.00,10.00,88.00,0,6-6-0,0,12
21,2959,12.00,44.00,40.00,88.00,0,6-6-0,0,12
22,4237,10.00,75.00,40.00,52.00,0,5-7-0,0,12
23,1940,10.00,56.00,0,88.00,0,5-7-0,0,12
24,1528,10.00,54.00,20.00,37.00,0,5-7-0,0,12
25,3509,10.00,50.00,20.00,57.00,0,5-7-0,0,12
26,2771,10.00,45.00,10.00,69.00,2,4-8-0,0,12
27,3875,10.00,42.00,30.00,54.00,0,5-7-0,0,12
28,4368,10.00,40.00,30.00,49.00,2,4-8-0,0,12
29,4004,10.00,35.00,70.00,20.00,0,5-7-0,0,12
30,4408,8.00,55.00,20.00,57.00,0,4-8-0,0,12
31,3767,8.00,24.00,10.00,54.00,2,3-9-0,0,12
32,3658,7.00,30.00,0,31.00,0,3-8-1,0,12
33,4325,7.00,22.00,30.00,63.00,0,3-8-1,0,12
34,4389,6.00,24.00,10.00,42.00,2,2-9-0,1,12
35,2405,5.00,41.00,10.00,36.00,0,2-9-1,0,12
36,4381,3.00,49.00,10.00,30.00,0,1-10-1,0,12
