Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1860,9,1,0,10,18.00,9.30,72
2,1382,7,2,1,10,15.00,18.10,72
3,383,7,2,1,10,15.00,6.00,51
4,2236,6,3,1,10,13.00,5.60,64
5,1603,6,4,0,10,12.00,16.80,118
6,2247,5,4,1,10,11.00,16.00,118
7,2244,5,5,0,10,10.00,18.90,72
8,2089,5,5,0,10,10.00,14.80,64
9,2266,4,4,2,10,10.00,7.20,36
10,1772,4,5,1,10,9.00,16.60,118
11,2026,3,6,1,10,7.00,11.50,52
12,2243,3,7,0,10,6.00,7.30,54
13,2049,2,6,2,10,6.00,2.80,30
14,1621,2,6,1,9,5.00,5.11,32
15,1156,1,8,1,10,3.00,9.30,54
