Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,67,44.00,201.00,110.00,205.00,22,11-1-0,0,12
2,469,36.00,130.00,90.00,177.00,14,11-1-0,0,12
3,573,33.00,101.00,120.00,70.00,13,10-2-0,0,12
4,247,30.00,147.00,100.00,94.00,10,10-1-0,1,12
5,1025,30.00,79.00,80.00,112.00,16,7-5-0,0,12
6,3548,30.00,41.00,100.00,40.00,16,7-5-0,0,12
7,2834,29.00,105.00,60.00,128.00,16,6-5-1,0,12
8,3098,28.00,118.00,60.00,100.00,8,10-2-0,0,12
9,3655,26.00,91.00,40.00,60.00,12,7-5-0,0,12
10,226,26.00,63.00,120.00,61.00,10,8-4-0,0,12
11,2627,25.00,24.00,80.00,62.00,14,5-6-1,0,12
12,3620,24.00,90.00,120.00,59.00,8,8-4-0,0,12
13,3667,24.00,52.00,90.00,46.00,10,7-4-0,1,12
14,470,24.00,40.00,80.00,55.00,8,8-4-0,0,12
15,2619,23.00,70.00,90.00,66.00,9,7-5-0,0,12
16,3770,23.00,48.00,60.00,102.00,11,6-6-0,0,12
17,3398,22.00,48.00,50.00,68.00,14,4-8-0,0,12
18,3657,21.00,44.00,60.00,43.00,8,6-5-1,0,12
19,3542,20.00,72.00,80.00,49.00,10,5-7-0,0,12
20,1250,20.00,65.00,50.00,54.00,10,5-7-0,0,12
21,3547,20.00,56.00,60.00,50.00,8,6-6-0,0,12
22,68,20.00,54.00,80.00,65.00,13,3-8-1,0,12
23,1188,20.00,28.00,70.00,66.00,10,5-7-0,0,12
24,3539,19.00,76.00,100.00,64.00,7,6-6-0,0,12
25,3538,19.00,21.00,50.00,66.00,8,5-6-1,0,12
26,3175,18.00,84.00,90.00,45.00,8,5-7-0,0,12
27,1998,18.00,80.00,30.00,52.00,10,4-6-0,2,12
28,1,18.00,66.00,70.00,35.00,8,5-7-0,0,12
29,4044,18.00,58.00,40.00,61.00,10,4-8-0,0,12
30,3570,17.00,70.00,40.00,59.00,8,4-7-1,0,12
31,3414,17.00,41.00,40.00,23.00,9,4-8-0,0,12
32,4390,17.00,27.00,60.00,57.00,8,4-7-1,0,12
33,2851,16.00,102.00,70.00,62.00,4,6-6-0,0,12
34,2612,16.00,57.00,60.00,54.00,8,4-8-0,0,12
35,3601,16.00,22.00,140.00,44.00,6,5-6-0,1,12
36,503,14.00,62.00,70.00,66.00,8,3-9-0,0,12
37,4216,14.00,58.00,20.00,18.00,8,3-9-0,0,12
38,4384,13.00,34.00,40.00,41.00,4,4-7-1,0,12
39,308,12.00,29.00,70.00,28.00,8,2-10-0,0,12
40,4405,10.00,76.00,70.00,69.00,4,3-8-0,1,12
