Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,3266,24.00,540.00,565.00,280.00,348.00,12-0-0,0,12
2,16,22.00,540.00,646.00,390.00,571.00,11-1-0,0,12
3,3324,20.00,590.00,543.00,250.00,466.00,10-2-0,0,12
4,447,18.00,650.00,656.00,390.00,382.00,9-3-0,0,12
5,234,18.00,500.00,531.00,410.00,528.00,9-3-0,0,12
6,868,18.00,440.00,535.00,360.00,391.00,9-3-0,0,12
7,4982,18.00,410.00,614.00,270.00,411.00,9-3-0,0,12
8,2016,18.00,370.00,610.00,330.00,399.00,9-3-0,0,12
9,4028,18.00,340.00,616.00,260.00,426.00,9-3-0,0,12
10,3494,16.00,590.00,585.00,300.00,429.00,8-4-0,0,12
11,3591,16.00,430.00,555.00,180.00,574.00,8-4-0,0,12
12,2834,16.00,380.00,536.00,230.00,371.00,8-4-0,0,12
13,3138,14.00,480.00,532.00,260.00,383.00,7-5-0,0,12
14,1646,14.00,340.00,681.00,210.00,473.00,7-5-0,0,12
15,3201,14.00,240.00,567.00,280.00,344.00,7-5-0,0,12
16,201,12.00,580.00,596.00,310.00,246.00,6-6-0,0,12
17,2665,12.00,550.00,425.00,220.00,324.00,6-6-0,0,12
18,1024,12.00,530.00,440.00,360.00,290.00,6-6-0,0,12
19,4521,12.00,490.00,442.00,190.00,369.00,6-6-0,0,12
20,3506,12.00,430.00,443.00,270.00,285.00,6-6-0,0,12
21,279,12.00,390.00,646.00,210.00,303.00,6-6-0,0,12
22,4283,12.00,350.00,567.00,310.00,415.00,6-6-0,0,12
23,3176,12.00,310.00,541.00,270.00,342.00,6-6-0,0,12
24,1038,12.00,260.00,496.00,250.00,271.00,6-6-0,0,12
25,2783,12.00,220.00,423.00,300.00,211.00,6-6-0,0,12
26,4008,12.00,190.00,412.00,270.00,269.00,6-6-0,0,12
27,4145,10.00,450.00,522.00,270.00,280.00,5-7-0,0,12
28,1086,10.00,430.00,485.00,210.00,418.00,5-7-0,0,12
29,1225,10.00,390.00,500.00,250.00,215.00,5-7-0,0,12
30,120,10.00,330.00,561.00,350.00,240.00,5-7-0,0,12
31,144,10.00,290.00,342.00,210.00,393.00,5-7-0,0,12
32,4275,10.00,260.00,362.00,240.00,276.00,5-7-0,0,12
33,5146,10.00,250.00,341.00,200.00,362.00,5-7-0,0,12
34,3814,10.00,150.00,388.00,230.00,321.00,5-7-0,0,12
35,525,8.00,460.00,561.00,180.00,515.00,4-8-0,0,12
36,5006,8.00,380.00,395.00,160.00,257.00,4-8-0,0,12
37,554,8.00,290.00,490.00,120.00,353.00,4-8-0,0,12
38,2171,8.00,270.00,446.00,220.00,279.00,4-8-0,0,12
39,677,8.00,260.00,455.00,320.00,298.00,4-8-0,0,12
40,4830,8.00,250.00,480.00,230.00,298.00,4-8-0,0,12
41,4115,8.00,220.00,391.00,190.00,303.00,4-8-0,0,12
42,3821,6.00,270.00,421.00,220.00,223.00,3-9-0,0,12
43,3301,6.00,260.00,410.00,210.00,243.00,3-9-0,0,12
44,4595,6.00,230.00,461.00,270.00,355.00,3-9-0,0,12
45,1529,6.00,130.00,383.00,120.00,259.00,3-9-0,0,12
46,4211,4.00,330.00,426.00,200.00,321.00,2-10-0,0,12
47,4284,4.00,210.00,416.00,150.00,230.00,2-10-0,0,12
