Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1114,32.00,159.00,60.00,236.00,14,9-2-0,0,11
2,1503,32.00,104.00,100.00,136.00,16,8-3-0,0,11
3,3161,30.00,156.00,120.00,158.00,16,7-4-0,0,11
4,2056,26.00,128.00,90.00,275.00,8,9-2-0,0,11
5,3756,26.00,116.00,60.00,107.00,12,7-4-0,0,11
6,1310,26.00,97.00,100.00,124.00,12,7-4-0,0,11
7,216,26.00,87.00,100.00,120.00,12,7-4-0,0,11
8,781,26.00,75.00,60.00,105.00,14,6-5-0,0,11
9,1535,26.00,68.00,10.00,135.00,12,7-4-0,0,11
10,3683,24.00,142.00,100.00,146.00,12,6-5-0,0,11
11,865,24.00,60.00,70.00,77.00,16,4-7-0,0,11
12,4069,23.00,90.00,90.00,66.00,16,3-7-1,0,11
13,4200,23.00,50.00,90.00,88.00,8,7-3-1,0,11
14,843,23.00,42.00,100.00,73.00,12,5-5-1,0,11
15,2702,22.00,115.00,70.00,113.00,10,6-5-0,0,11
16,4039,22.00,58.00,20.00,68.00,12,5-6-0,0,11
17,2852,20.00,80.00,70.00,145.00,10,5-6-0,0,11
18,3396,20.00,67.00,80.00,115.00,8,6-5-0,0,11
19,244,18.00,106.00,40.00,114.00,8,5-6-0,0,11
20,1514,18.00,63.00,30.00,97.00,10,4-7-0,0,11
21,2809,18.00,60.00,50.00,74.00,8,5-6-0,0,11
22,771,18.00,48.00,20.00,69.00,8,5-6-0,0,11
23,4372,17.00,57.00,50.00,81.00,8,4-6-1,0,11
24,288,16.00,102.00,90.00,84.00,10,3-8-0,0,11
25,1334,16.00,89.00,60.00,97.00,6,5-6-0,0,11
26,1846,16.00,72.00,20.00,99.00,6,5-6-0,0,11
27,3739,16.00,61.00,30.00,63.00,6,5-6-0,0,11
28,3543,15.00,49.00,30.00,98.00,10,2-8-1,0,11
29,4152,14.00,78.00,20.00,60.00,8,3-8-0,0,11
30,1305,9.00,62.00,30.00,65.00,4,2-8-1,0,11
