Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,2791,17,146,80,218,310,5-1-0,0,6
2,5254,16,170,55,153,350,4-2-0,0,6
3,5881,16,138,85,141,305,5-1-0,0,6
4,1124,16,134,130,216,295,4-2-0,0,6
5,5254B,16,124,60,185,310,5-1-0,0,6
6,1493,16,120,105,184,325,4-2-0,0,6
7,195,15,212,105,261,320,4-2-0,0,6
8,6300,15,132,70,149,310,4-2-0,0,6
9,1880,13,174,70,136,285,4-2-0,0,6
10,5099,13,160,90,166,315,4-2-0,0,6
11,229,13,114,55,131,295,4-2-0,0,6
12,6300B,12,146,60,133,325,3-3-0,0,6
13,1493B,12,78,60,141,230,4-2-0,0,6
14,145,11,160,75,161,270,3-3-0,0,6
15,716,10,118,100,138,295,2-4-0,0,6
16,6463,8,82,60,104,220,2-4-0,0,6
17,263,8,64,75,101,265,2-4-0,0,6
18,20,8,44,70,132,250,2-4-0,0,6
19,5964,6,124,80,85,300,1-5-0,0,6
20,250,6,104,55,109,250,1-5-0,0,6
21,3461,6,102,55,72,285,1-5-0,0,6
22,6484,6,86,75,141,205,1-5-0,0,6
23,4508,6,72,35,51,245,2-4-0,0,6
24,3044,5,136,50,94,295,1-5-0,0,6
