Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,384,2.1600000000000001,1770,255,860,700,0,5-1-0,0,6
2,836,2,1330,375,820,400,0,5-1-0,0,6
3,5950,1.6599999999999999,1405,70,760,550,0,4-2-0,0,6
4,3359,1.5,1503,385,780,600,13,4-2-0,0,6
5,1885,1.5,1492,370,820,550,12,4-2-0,0,6
6,384B,1.5,1480,430,800,550,0,4-2-0,0,6
7,1389,1.3300000000000001,1525,195,600,700,0,4-2-0,0,6
8,5804,1.3300000000000001,1378,185,600,500,13,4-2-0,0,6
9,5546,1.3300000000000001,1330,315,680,550,0,4-2-0,0,6
10,346B,1.3300000000000001,1255,261,580,500,25,4-2-0,0,6
11,5957,1.3300000000000001,1208,431,600,500,13,4-2-0,0,6
12,346,1.3300000000000001,1171,262,540,450,91,4-2-0,0,6
13,339,1.1599999999999999,1345,326,720,450,25,3-3-0,0,6
14,2028,1.1599999999999999,1335,380,700,450,0,3-3-0,0,6
15,122,1.1599999999999999,1305,365,740,500,0,3-3-0,0,6
16,401,1.1599999999999999,1195,170,640,500,0,3-3-0,0,6
17,1080,1,1135,255,660,400,0,3-3-0,0,6
18,2363,1,1058,145,460,400,28,3-3-0,0,6
19,1086,0.66000000000000003,1355,185,640,600,0,2-4-0,0,6
20,1610,0.66000000000000003,1300,140,620,500,0,2-4-0,0,6
21,5950B,0.66000000000000003,1060,195,560,350,0,2-4-0,0,6
22,2890,0.66000000000000003,1058,286,600,400,13,2-4-0,0,6
23,1599,0.66000000000000003,1000,190,520,400,0,2-4-0,0,6
24,540,0.66000000000000003,778,190,440,200,28,2-4-0,0,6
25,1522,0.5,820,180,480,250,0,1-3-0,2,6
26,1137,0.33000000000000002,1187,185,600,500,12,1-5-0,0,6
27,1389B,0.33000000000000002,935,220,580,300,0,1-5-0,0,6
28,540B,0.33000000000000002,850,165,600,200,0,1-5-0,0,6
