Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,4587,3,430,191,1412,125,6-0-0,0,6
2,364,2.5,325,217,1691,150,6-0-0,0,6
3,2080,2,275,136,1116,205,4-2-0,0,6
4,3337,2,260,141,913,120,4-2-0,0,6
5,3039,2,220,165,1506,155,5-1-0,0,6
6,7094,1.83,355,154,873,150,3-3-0,0,6
7,2992,1.83,335,156,929,160,4-2-0,0,6
8,9989,1.83,285,187,948,150,3-3-0,0,6
9,5997,1.83,250,147,1332,215,4-2-0,0,6
10,2183,1.66,385,122,1250,185,4-2-0,0,6
11,5930,1.66,305,132,1195,105,4-2-0,0,6
12,4087,1.66,240,155,1179,155,4-2-0,0,6
13,9994,1.66,230,102,1230,180,5-1-0,0,6
14,3616,1.5,290,112,1077,130,3-3-0,0,6
15,4336,1.5,265,150,1155,120,3-3-0,0,6
16,9992,1.33,295,162,927,150,2-4-0,0,6
17,4978,1.33,295,154,1016,135,2-4-0,0,6
18,2221,1.33,280,114,1371,120,4-2-0,0,6
19,5863,1.33,240,135,1068,145,3-3-0,0,6
20,3847,1.33,175,124,1060,95,3-3-0,0,6
21,1927,1.16,275,124,860,120,3-3-0,0,6
22,3753,1.16,260,127,846,125,2-4-0,0,6
23,9990,1.16,225,87,688,125,3-3-0,0,6
24,4107,1.16,210,97,971,85,3-3-0,0,6
25,5829,1.16,155,85,942,110,3-3-0,0,6
26,9997,0.83,225,129,782,80,2-4-0,0,6
27,5965,0.83,220,98,609,110,2-4-0,0,6
28,5785,0.66,275,97,726,140,1-5-0,0,6
29,1912,0.66,240,84,824,125,2-4-0,0,6
30,3946,0.5,290,125,875,255,1-5-0,0,6
31,6489,0.5,280,125,882,135,1-5-0,0,6
32,7331,0.33,220,94,629,115,0-6-0,0,6
33,9986,0.16,165,119,736,85,0-6-0,0,6
