Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,987,10,0,0,10,20.00,41.80,120
2,968,9,1,0,10,18.00,37.60,90
3,2102,9,1,0,10,18.00,37.60,76
4,701,9,1,0,10,18.00,37.20,100
5,1388,9,1,0,10,18.00,35.80,100
6,330,7,3,0,10,14.00,44.60,106
7,1158,7,3,0,10,14.00,39.60,120
8,2493,7,3,0,10,14.00,35.40,90
9,1717,7,3,0,10,14.00,34.60,106
10,2029,7,3,0,10,14.00,28.60,100
11,2042,6,4,0,10,12.00,36.00,106
12,192,6,4,0,10,12.00,34.00,86
13,981,6,4,0,10,12.00,29.40,84
14,1323,6,4,0,10,12.00,28.60,62
15,1998,6,4,0,10,12.00,28.40,68
16,599,6,4,0,10,12.00,27.40,70
17,2141,6,4,0,10,12.00,25.00,62
18,812,5,5,0,10,10.00,34.80,68
19,1138,5,5,0,10,10.00,33.80,120
20,1566,5,5,0,10,10.00,31.00,80
21,2485,5,5,0,10,10.00,29.20,64
22,610,5,5,0,10,10.00,27.40,70
23,597,5,5,0,10,10.00,26.00,84
24,399,5,5,0,10,10.00,25.40,100
25,362,5,5,0,10,10.00,24.60,76
26,2154,5,5,0,10,10.00,24.00,86
27,2032,5,5,0,10,10.00,23.80,68
28,2543,5,5,0,10,10.00,23.20,48
29,1671,5,5,0,10,10.00,17.20,54
30,1622,4,6,0,10,8.00,46.60,106
31,1572,4,6,0,10,8.00,36.20,60
32,2193,4,6,0,10,8.00,29.20,66
33,1538,4,6,0,10,8.00,27.20,54
34,1266,4,6,0,10,8.00,26.40,72
35,841,4,6,0,10,8.00,24.60,48
36,980,4,6,0,10,8.00,23.40,58
37,2663,4,6,0,10,8.00,22.60,68
38,585,4,6,0,10,8.00,22.20,68
39,2034,3,7,0,10,6.00,30.40,80
40,2658,3,7,0,10,6.00,30.40,58
41,2622,3,7,0,10,6.00,28.20,50
42,696,3,7,0,10,6.00,27.60,52
43,2066,3,7,0,10,6.00,23.60,68
44,1159,3,7,0,10,6.00,21.00,50
45,568,2,8,0,10,4.00,23.20,50
46,1197,2,8,0,10,4.00,22.20,62
47,294,2,8,0,10,4.00,19.80,46
48,2599,1,9,0,10,2.00,29.20,54
49,1527,1,9,0,10,2.00,16.20,42
