2003pa_f1m1,frc204,frc486,frc87,frc222,72,6
2003pa_f1m2,frc1218,frc486,frc87,frc222,63,58
2003pa_qf1m1,frc224,frc487,frc433,frc618,34,63
2003pa_qf1m2,frc224,frc383,frc433,frc651,39,35
2003pa_qf2m1,frc103,frc102,frc87,frc222,26,65
2003pa_qf2m2,frc103,frc316,frc87,frc272,3,150
2003pa_qf3m1,frc56,frc484,frc204,frc486,41,65
2003pa_qf3m2,frc56,frc96,frc204,frc1218,39,12
2003pa_qf4m1,frc365,frc341,frc1113,frc694,2,59
2003pa_qf4m2,frc365,frc522,frc1113,frc230,9,59
2003pa_qm1,frc561,frc486,frc816,frc381,13,61
2003pa_qm10,frc834,frc321,frc528,frc651,33,12
2003pa_qm11,frc694,frc357,frc96,frc484,6,69
2003pa_qm12,frc381,frc561,frc341,frc618,6,118
2003pa_qm13,frc1218,frc125,frc102,frc486,86,31
2003pa_qm14,frc709,frc222,frc103,frc1113,49,60
2003pa_qm15,frc528,frc433,frc300,frc816,43,19
2003pa_qm16,frc357,frc708,frc204,frc321,6,114
2003pa_qm17,frc694,frc56,frc444,frc145,114,37
2003pa_qm18,frc1143,frc398,frc316,frc522,5,59
2003pa_qm19,frc563,frc304,frc96,frc487,12,46
2003pa_qm2,frc125,frc1113,frc145,frc341,62,89
2003pa_qm20,frc87,frc422,frc122,frc230,72,45
2003pa_qm21,frc104,frc224,frc383,frc651,32,39
2003pa_qm22,frc272,frc834,frc365,frc484,6,85
2003pa_qm23,frc618,frc381,frc486,frc1218,3,94
2003pa_qm24,frc96,frc561,frc1113,frc709,33,11
2003pa_qm25,frc122,frc816,frc125,frc383,58,32
2003pa_qm26,frc321,frc528,frc341,frc272,70,48
2003pa_qm27,frc145,frc222,frc357,frc834,97,57
2003pa_qm28,frc694,frc102,frc522,frc433,6,34
2003pa_qm29,frc224,frc365,frc1143,frc708,42,12
2003pa_qm3,frc709,frc300,frc316,frc1218,41,76
2003pa_qm30,frc487,frc103,frc56,frc300,72,32
2003pa_qm31,frc563,frc230,frc398,frc204,57,37
2003pa_qm32,frc87,frc444,frc651,frc304,55,31
2003pa_qm33,frc104,frc316,frc422,frc484,61,64
2003pa_qm34,frc1218,frc618,frc709,frc56,57,59
2003pa_qm35,frc96,frc383,frc381,frc272,97,14
2003pa_qm36,frc122,frc561,frc398,frc321,59,35
2003pa_qm37,frc651,frc834,frc816,frc422,54,26
2003pa_qm38,frc145,frc104,frc486,frc433,43,61
2003pa_qm39,frc444,frc1113,frc708,frc528,57,35
2003pa_qm4,frc103,frc56,frc563,frc102,2,112
2003pa_qm40,frc316,frc694,frc222,frc125,53,24
2003pa_qm41,frc224,frc300,frc341,frc102,30,93
2003pa_qm42,frc487,frc204,frc365,frc357,51,38
