Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,2122,35.00,167.00,120.00,207.00,16,9-1-1,0,11
2,3483,35.00,113.00,90.00,123.00,22,6-4-1,0,11
3,473,35.00,106.00,110.00,121.00,20,7-3-1,0,11
4,3663,34.00,163.00,140.00,92.00,16,9-2-0,0,11
5,1595,34.00,129.00,110.00,121.00,20,7-4-0,0,11
6,2733,34.00,115.00,120.00,161.00,16,9-2-0,0,11
7,1983,33.00,154.00,110.00,245.00,15,9-2-0,0,11
8,3968,33.00,143.00,120.00,199.00,18,7-3-1,0,11
9,2907,31.00,156.00,80.00,157.00,16,7-3-1,0,11
10,2148,31.00,79.00,110.00,115.00,14,8-2-1,0,11
11,2928,30.00,107.00,110.00,179.00,16,7-4-0,0,11
12,4120,29.00,102.00,140.00,100.00,15,7-4-0,0,11
13,294,29.00,101.00,140.00,99.00,12,8-2-1,0,11
14,4061,28.00,120.00,100.00,118.00,14,7-4-0,0,11
15,4089,28.00,112.00,120.00,104.00,14,7-4-0,0,11
16,2522,26.00,109.00,110.00,127.00,11,7-3-1,0,11
17,3574,26.00,104.00,90.00,63.00,16,5-6-0,0,11
18,948,24.00,150.00,140.00,75.00,9,7-3-1,0,11
19,1899,24.00,115.00,100.00,75.00,14,5-6-0,0,11
20,1258,24.00,115.00,60.00,67.00,14,5-6-0,0,11
21,2147,24.00,103.00,80.00,89.00,14,4-5-2,0,11
22,701,24.00,93.00,110.00,74.00,10,7-4-0,0,11
23,3801,24.00,83.00,70.00,94.00,16,4-7-0,0,11
24,4017,24.00,75.00,70.00,78.00,16,4-7-0,0,11
25,2923,24.00,58.00,100.00,79.00,14,5-6-0,0,11
26,4104,23.00,51.00,50.00,38.00,12,5-5-1,0,11
27,3219,22.00,135.00,100.00,122.00,8,7-4-0,0,11
28,2910,22.00,103.00,110.00,125.00,10,6-5-0,0,11
29,2944,22.00,69.00,100.00,70.00,10,6-5-0,0,11
30,2149,22.00,52.00,90.00,82.00,16,3-8-0,0,11
31,1695,21.00,52.00,100.00,53.00,10,5-5-1,0,11
32,1318,20.00,131.00,40.00,148.00,10,5-6-0,0,11
33,3220,20.00,106.00,40.00,61.00,12,4-7-0,0,11
34,3831,19.00,79.00,60.00,96.00,8,5-5-1,0,11
35,3315,19.00,78.00,90.00,53.00,10,4-6-1,0,11
36,3586,18.00,85.00,50.00,73.00,12,3-8-0,0,11
37,3070,18.00,72.00,60.00,89.00,10,4-7-0,0,11
38,3216,17.00,81.00,40.00,106.00,10,3-7-1,0,11
39,2865,17.00,73.00,100.00,70.00,8,4-6-1,0,11
40,3513,16.00,92.00,70.00,66.00,10,3-8-0,0,11
41,2926,16.00,69.00,40.00,92.00,8,4-7-0,0,11
42,3860,15.00,57.00,60.00,75.00,11,2-9-0,0,11
43,3693,15.00,38.00,60.00,51.00,11,2-9-0,0,11
44,3587,14.00,69.00,20.00,63.00,10,2-9-0,0,11
45,2915,14.00,55.00,50.00,47.00,8,3-8-0,0,11
46,4082,13.00,49.00,40.00,50.00,6,3-6-1,1,11
47,1696,12.00,64.00,30.00,63.00,12,0-11-0,0,11
