Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2771,10,2,0,12,20.00,33.08
2,2054,10,2,0,12,20.00,31.25
3,74,9,3,0,12,18.00,36.08
4,1941,9,2,0,11,18.00,16.58
5,3357,8,3,1,12,17.00,31.66
6,2474,8,3,1,12,17.00,29.75
7,3572,8,3,1,12,17.00,25.00
8,2959,8,4,0,12,16.00,35.50
9,904,8,3,0,11,16.00,24.66
10,1677,7,3,1,11,15.00,21.58
11,3620,7,4,1,12,15.00,20.58
12,1243,7,5,0,12,14.00,29.83
13,3875,7,5,0,12,14.00,26.41
14,2612,6,6,0,12,12.00,26.08
15,2767,6,6,0,12,12.00,26.00
16,3546,6,6,0,12,12.00,23.58
17,141,6,6,0,12,12.00,19.41
18,3640,5,6,1,12,11.00,21.16
19,1528,5,7,0,12,10.00,36.75
20,3688,5,7,0,12,10.00,29.25
21,3509,5,7,0,12,10.00,26.91
22,3618,5,7,0,12,10.00,24.41
23,3658,4,7,1,12,9.00,22.08
24,2405,4,7,1,12,9.00,17.66
25,858,4,5,1,10,9.00,9.91
26,3452,4,8,0,12,8.00,30.50
27,3603,4,8,0,12,8.00,26.58
28,1506,4,7,0,11,8.00,17.25
29,2591,4,8,0,12,8.00,15.83
30,94,3,8,1,12,7.00,21.66
31,503,3,9,0,12,6.00,23.83
32,1254,3,9,0,12,6.00,16.16
33,3639,2,6,1,9,5.00,15.00
34,107,2,9,1,12,5.00,14.08
